	id	type
0	b.SAL.1.1	verse
1	b.SAL.1.2	verse
2	b.SAL.1.3	verse
3	b.SAL.1.4	verse
4	b.SAL.1.5	verse
5	b.SAL.1.6	verse
6	b.SAL.2.1	verse
7	b.SAL.2.2	verse
8	b.SAL.2.3	verse
9	b.SAL.2.4	verse
10	b.SAL.2.5	verse
11	b.SAL.2.6	verse
12	b.SAL.2.7	verse
13	b.SAL.2.8	verse
14	b.SAL.2.9	verse
15	b.SAL.2.10	verse
16	b.SAL.2.11	verse
17	b.SAL.2.12	verse
18	b.SAL.3.1	verse
19	b.SAL.3.2	verse
20	b.SAL.3.3	verse
21	b.SAL.3.4	verse
22	b.SAL.3.5	verse
23	b.SAL.3.6	verse
24	b.SAL.3.7	verse
25	b.SAL.3.8	verse
26	b.SAL.4.1	verse
27	b.SAL.4.2	verse
28	b.SAL.4.3	verse
29	b.SAL.4.4	verse
30	b.SAL.4.5	verse
31	b.SAL.4.6	verse
32	b.SAL.4.7	verse
33	b.SAL.4.8	verse
34	b.SAL.5.1	verse
35	b.SAL.5.2	verse
36	b.SAL.5.3	verse
37	b.SAL.5.4	verse
38	b.SAL.5.5	verse
39	b.SAL.5.6	verse
40	b.SAL.5.7	verse
41	b.SAL.5.8	verse
42	b.SAL.5.9	verse
43	b.SAL.5.10	verse
44	b.SAL.5.11	verse
45	b.SAL.5.12	verse
46	b.SAL.6.1	verse
47	b.SAL.6.2	verse
48	b.SAL.6.3	verse
49	b.SAL.6.4	verse
50	b.SAL.6.5	verse
51	b.SAL.6.6	verse
52	b.SAL.6.7	verse
53	b.SAL.6.8	verse
54	b.SAL.6.9	verse
55	b.SAL.6.10	verse
56	b.SAL.7.1	verse
57	b.SAL.7.2	verse
58	b.SAL.7.3	verse
59	b.SAL.7.4	verse
60	b.SAL.7.5	verse
61	b.SAL.7.6	verse
62	b.SAL.7.7	verse
63	b.SAL.7.8	verse
64	b.SAL.7.9	verse
65	b.SAL.7.10	verse
66	b.SAL.7.11	verse
67	b.SAL.7.12	verse
68	b.SAL.7.13	verse
69	b.SAL.7.14	verse
70	b.SAL.7.15	verse
71	b.SAL.7.16	verse
72	b.SAL.7.17	verse
73	b.SAL.8.1	verse
74	b.SAL.8.2	verse
75	b.SAL.8.3	verse
76	b.SAL.8.4	verse
77	b.SAL.8.5	verse
78	b.SAL.8.6	verse
79	b.SAL.8.7	verse
80	b.SAL.8.8	verse
81	b.SAL.8.9	verse
82	b.SAL.9.1	verse
83	b.SAL.9.2	verse
84	b.SAL.9.3	verse
85	b.SAL.9.4	verse
86	b.SAL.9.5	verse
87	b.SAL.9.6	verse
88	b.SAL.9.7	verse
89	b.SAL.9.8	verse
90	b.SAL.9.9	verse
91	b.SAL.9.10	verse
92	b.SAL.9.11	verse
93	b.SAL.9.12	verse
94	b.SAL.9.13	verse
95	b.SAL.9.14	verse
96	b.SAL.9.15	verse
97	b.SAL.9.16	verse
98	b.SAL.9.17	verse
99	b.SAL.9.18	verse
100	b.SAL.9.19	verse
101	b.SAL.9.20	verse
102	b.SAL.10.1	verse
103	b.SAL.10.2	verse
104	b.SAL.10.3	verse
105	b.SAL.10.4	verse
106	b.SAL.10.5	verse
107	b.SAL.10.6	verse
108	b.SAL.10.7	verse
109	b.SAL.10.8	verse
110	b.SAL.10.9	verse
111	b.SAL.10.10	verse
112	b.SAL.10.11	verse
113	b.SAL.10.12	verse
114	b.SAL.10.13	verse
115	b.SAL.10.14	verse
116	b.SAL.10.15	verse
117	b.SAL.10.16	verse
118	b.SAL.10.17	verse
119	b.SAL.10.18	verse
120	b.SAL.11.1	verse
121	b.SAL.11.2	verse
122	b.SAL.11.3	verse
123	b.SAL.11.4	verse
124	b.SAL.11.5	verse
125	b.SAL.11.6	verse
126	b.SAL.11.7	verse
127	b.SAL.12.1	verse
128	b.SAL.12.2	verse
129	b.SAL.12.3	verse
130	b.SAL.12.4	verse
131	b.SAL.12.5	verse
132	b.SAL.12.6	verse
133	b.SAL.12.7	verse
134	b.SAL.12.8	verse
135	b.SAL.13.1	verse
136	b.SAL.13.2	verse
137	b.SAL.13.3	verse
138	b.SAL.13.4	verse
139	b.SAL.13.5	verse
140	b.SAL.13.6	verse
141	b.SAL.14.1	verse
142	b.SAL.14.2	verse
143	b.SAL.14.3	verse
144	b.SAL.14.4	verse
145	b.SAL.14.5	verse
146	b.SAL.14.6	verse
147	b.SAL.14.7	verse
148	b.SAL.15.1	verse
149	b.SAL.15.2	verse
150	b.SAL.15.3	verse
151	b.SAL.15.4	verse
152	b.SAL.15.5	verse
153	b.SAL.16.1	verse
154	b.SAL.16.2	verse
155	b.SAL.16.3	verse
156	b.SAL.16.4	verse
157	b.SAL.16.5	verse
158	b.SAL.16.6	verse
159	b.SAL.16.7	verse
160	b.SAL.16.8	verse
161	b.SAL.16.9	verse
162	b.SAL.16.10	verse
163	b.SAL.16.11	verse
164	b.SAL.17.1	verse
165	b.SAL.17.2	verse
166	b.SAL.17.3	verse
167	b.SAL.17.4	verse
168	b.SAL.17.5	verse
169	b.SAL.17.6	verse
170	b.SAL.17.7	verse
171	b.SAL.17.8	verse
172	b.SAL.17.9	verse
173	b.SAL.17.10	verse
174	b.SAL.17.11	verse
175	b.SAL.17.12	verse
176	b.SAL.17.13	verse
177	b.SAL.17.14	verse
178	b.SAL.17.15	verse
179	b.SAL.18.1	verse
180	b.SAL.18.2	verse
181	b.SAL.18.3	verse
182	b.SAL.18.4	verse
183	b.SAL.18.5	verse
184	b.SAL.18.6	verse
185	b.SAL.18.7	verse
186	b.SAL.18.8	verse
187	b.SAL.18.9	verse
188	b.SAL.18.10	verse
189	b.SAL.18.11	verse
190	b.SAL.18.12	verse
191	b.SAL.18.13	verse
192	b.SAL.18.14	verse
193	b.SAL.18.15	verse
194	b.SAL.18.16	verse
195	b.SAL.18.17	verse
196	b.SAL.18.18	verse
197	b.SAL.18.19	verse
198	b.SAL.18.20	verse
199	b.SAL.18.21	verse
200	b.SAL.18.22	verse
201	b.SAL.18.23	verse
202	b.SAL.18.24	verse
203	b.SAL.18.25	verse
204	b.SAL.18.26	verse
205	b.SAL.18.27	verse
206	b.SAL.18.28	verse
207	b.SAL.18.29	verse
208	b.SAL.18.30	verse
209	b.SAL.18.31	verse
210	b.SAL.18.32	verse
211	b.SAL.18.33	verse
212	b.SAL.18.34	verse
213	b.SAL.18.35	verse
214	b.SAL.18.36	verse
215	b.SAL.18.37	verse
216	b.SAL.18.38	verse
