	id	type
0	b.SON.1.1	verse
1	b.SON.1.2	verse
2	b.SON.1.3	verse
3	b.SON.1.4	verse
4	b.SON.1.5	verse
5	b.SON.1.6	verse
6	b.SON.1.7	verse
7	b.SON.1.8	verse
8	b.SON.1.9	verse
9	b.SON.1.10	verse
10	b.SON.1.11	verse
11	b.SON.1.12	verse
12	b.SON.1.13	verse
13	b.SON.1.14	verse
14	b.SON.1.15	verse
15	b.SON.1.16	verse
16	b.SON.1.17	verse
17	b.SON.2.1	verse
18	b.SON.2.2	verse
19	b.SON.2.3	verse
20	b.SON.2.4	verse
21	b.SON.2.5	verse
22	b.SON.2.6	verse
23	b.SON.2.7	verse
24	b.SON.2.8	verse
25	b.SON.2.9	verse
26	b.SON.2.10	verse
27	b.SON.2.11	verse
28	b.SON.2.12	verse
29	b.SON.2.13	verse
30	b.SON.2.14	verse
31	b.SON.2.15	verse
32	b.SON.2.16	verse
33	b.SON.2.17	verse
34	b.SON.3.1	verse
35	b.SON.3.2	verse
36	b.SON.3.3	verse
37	b.SON.3.4	verse
38	b.SON.3.5	verse
39	b.SON.3.6	verse
40	b.SON.3.7	verse
41	b.SON.3.8	verse
42	b.SON.3.9	verse
43	b.SON.3.10	verse
44	b.SON.3.11	verse
45	b.SON.4.1	verse
46	b.SON.4.2	verse
47	b.SON.4.3	verse
48	b.SON.4.4	verse
49	b.SON.4.5	verse
50	b.SON.4.6	verse
51	b.SON.4.7	verse
52	b.SON.4.8	verse
53	b.SON.4.9	verse
54	b.SON.4.10	verse
55	b.SON.4.11	verse
56	b.SON.4.12	verse
57	b.SON.4.13	verse
58	b.SON.4.14	verse
59	b.SON.4.15	verse
60	b.SON.4.16	verse
61	b.SON.5.1	verse
62	b.SON.5.2	verse
63	b.SON.5.3	verse
64	b.SON.5.4	verse
65	b.SON.5.5	verse
66	b.SON.5.6	verse
67	b.SON.5.7	verse
68	b.SON.5.8	verse
69	b.SON.5.9	verse
70	b.SON.5.10	verse
71	b.SON.5.11	verse
72	b.SON.5.12	verse
73	b.SON.5.13	verse
74	b.SON.5.14	verse
75	b.SON.5.15	verse
76	b.SON.5.16	verse
77	b.SON.6.1	verse
78	b.SON.6.2	verse
79	b.SON.6.3	verse
80	b.SON.6.4	verse
81	b.SON.6.5	verse
82	b.SON.6.6	verse
83	b.SON.6.7	verse
84	b.SON.6.8	verse
85	b.SON.6.9	verse
86	b.SON.6.10	verse
87	b.SON.6.11	verse
88	b.SON.6.12	verse
89	b.SON.6.13	verse
90	b.SON.7.1	verse
91	b.SON.7.2	verse
92	b.SON.7.3	verse
93	b.SON.7.4	verse
94	b.SON.7.5	verse
95	b.SON.7.6	verse
96	b.SON.7.7	verse
97	b.SON.7.8	verse
98	b.SON.7.9	verse
99	b.SON.7.10	verse
100	b.SON.7.11	verse
101	b.SON.7.12	verse
102	b.SON.7.13	verse
103	b.SON.8.1	verse
104	b.SON.8.2	verse
105	b.SON.8.3	verse
106	b.SON.8.4	verse
107	b.SON.8.5	verse
108	b.SON.8.6	verse
109	b.SON.8.7	verse
110	b.SON.8.8	verse
111	b.SON.8.9	verse
112	b.SON.8.10	verse
113	b.SON.8.11	verse
114	b.SON.8.12	verse
115	b.SON.8.13	verse
116	b.SON.8.14	verse
