	Source	Target	Weight	Type
21384	b.ZEC.12.7	b.ZEC.12.12	7	Undirected
21420	b.ZEC.12.8	b.ZEC.12.12	7	Undirected
21492	b.ZEC.12.10	b.ZEC.13.1	7	Undirected
21557	b.ZEC.12.12	b.ZEC.13.1	7	Undirected
21489	b.ZEC.12.10	b.ZEC.12.12	7	Undirected
21418	b.ZEC.12.8	b.ZEC.12.10	7	Undirected
21423	b.ZEC.12.8	b.ZEC.13.1	7	Undirected
21382	b.ZEC.12.7	b.ZEC.12.10	7	Undirected
21380	b.ZEC.12.7	b.ZEC.12.8	7	Undirected
21387	b.ZEC.12.7	b.ZEC.13.1	7	Undirected
21303	b.ZEC.12.5	b.ZEC.12.6	7	Undirected
21183	b.ZEC.12.2	b.ZEC.12.6	6	Undirected
21184	b.ZEC.12.2	b.ZEC.12.7	6	Undirected
21341	b.ZEC.12.5	b.ZEC.14.21	6	Undirected
13314	b.ZEC.6.10	b.ZEC.6.14	6	Undirected
17671	b.ZEC.8.19	b.ZEC.12.4	6	Undirected
3253	b.ZEC.1.17	b.ZEC.2.12	6	Undirected
21182	b.ZEC.12.2	b.ZEC.12.5	6	Undirected
21304	b.ZEC.12.5	b.ZEC.12.7	6	Undirected
14580	b.ZEC.7.5	b.ZEC.7.6	6	Undirected
19627	b.ZEC.10.3	b.ZEC.12.4	6	Undirected
2273	b.ZEC.1.12	b.ZEC.2.12	6	Undirected
14581	b.ZEC.7.5	b.ZEC.7.7	6	Undirected
17062	b.ZEC.8.13	b.ZEC.10.3	6	Undirected
17641	b.ZEC.8.19	b.ZEC.10.3	6	Undirected
21679	b.ZEC.13.2	b.ZEC.13.5	6	Undirected
17092	b.ZEC.8.13	b.ZEC.12.4	6	Undirected
17322	b.ZEC.8.15	b.ZEC.14.14	6	Undirected
14702	b.ZEC.7.6	b.ZEC.7.7	6	Undirected
21258	b.ZEC.12.3	b.ZEC.14.17	6	Undirected
21567	b.ZEC.12.12	b.ZEC.14.2	6	Undirected
14827	b.ZEC.7.7	b.ZEC.7.12	6	Undirected
22077	b.ZEC.14.18	b.ZEC.14.19	6	Undirected
5307	b.ZEC.2.7	b.ZEC.2.10	6	Undirected
16006	b.ZEC.8.3	b.ZEC.9.9	6	Undirected
2652	b.ZEC.1.14	b.ZEC.1.17	6	Undirected
17235	b.ZEC.8.15	b.ZEC.8.19	6	Undirected
17038	b.ZEC.8.13	b.ZEC.8.19	6	Undirected
17034	b.ZEC.8.13	b.ZEC.8.15	6	Undirected
17259	b.ZEC.8.15	b.ZEC.10.3	6	Undirected
21221	b.ZEC.12.2	b.ZEC.14.21	6	Undirected
17289	b.ZEC.8.15	b.ZEC.12.4	6	Undirected
21379	b.ZEC.12.6	b.ZEC.14.21	6	Undirected
21342	b.ZEC.12.6	b.ZEC.12.7	6	Undirected
21416	b.ZEC.12.7	b.ZEC.14.21	6	Undirected
21309	b.ZEC.12.5	b.ZEC.12.12	5	Undirected
16303	b.ZEC.8.5	b.ZEC.14.20	5	Undirected
16304	b.ZEC.8.5	b.ZEC.14.21	5	Undirected
22082	b.ZEC.14.20	b.ZEC.14.21	5	Undirected
21308	b.ZEC.12.5	b.ZEC.12.11	5	Undirected
21307	b.ZEC.12.5	b.ZEC.12.10	5	Undirected
21306	b.ZEC.12.5	b.ZEC.12.9	5	Undirected
21305	b.ZEC.12.5	b.ZEC.12.8	5	Undirected
16300	b.ZEC.8.5	b.ZEC.14.17	5	Undirected
16299	b.ZEC.8.5	b.ZEC.14.16	5	Undirected
21312	b.ZEC.12.5	b.ZEC.13.1	5	Undirected
21295	b.ZEC.12.4	b.ZEC.14.14	5	Undirected
16297	b.ZEC.8.5	b.ZEC.14.14	5	Undirected
16295	b.ZEC.8.5	b.ZEC.14.12	5	Undirected
16294	b.ZEC.8.5	b.ZEC.14.11	5	Undirected
17010	b.ZEC.8.12	b.ZEC.13.8	5	Undirected
18037	b.ZEC.8.23	b.ZEC.12.4	5	Undirected
21264	b.ZEC.12.4	b.ZEC.12.6	5	Undirected
17704	b.ZEC.8.19	b.ZEC.14.14	5	Undirected
21325	b.ZEC.12.5	b.ZEC.14.5	5	Undirected
5126	b.ZEC.2.6	b.ZEC.2.12	5	Undirected
21336	b.ZEC.12.5	b.ZEC.14.16	5	Undirected
15298	b.ZEC.7.11	b.ZEC.7.13	5	Undirected
15297	b.ZEC.7.11	b.ZEC.7.12	5	Undirected
21350	b.ZEC.12.6	b.ZEC.13.1	5	Undirected
21347	b.ZEC.12.6	b.ZEC.12.12	5	Undirected
21346	b.ZEC.12.6	b.ZEC.12.11	5	Undirected
21345	b.ZEC.12.6	b.ZEC.12.10	5	Undirected
21344	b.ZEC.12.6	b.ZEC.12.9	5	Undirected
21343	b.ZEC.12.6	b.ZEC.12.8	5	Undirected
15273	b.ZEC.7.10	b.ZEC.13.7	5	Undirected
21340	b.ZEC.12.5	b.ZEC.14.20	5	Undirected
21337	b.ZEC.12.5	b.ZEC.14.17	5	Undirected
21334	b.ZEC.12.5	b.ZEC.14.14	5	Undirected
5125	b.ZEC.2.6	b.ZEC.2.11	5	Undirected
5121	b.ZEC.2.6	b.ZEC.2.7	5	Undirected
21332	b.ZEC.12.5	b.ZEC.14.12	5	Undirected
21331	b.ZEC.12.5	b.ZEC.14.11	5	Undirected
21330	b.ZEC.12.5	b.ZEC.14.10	5	Undirected
5122	b.ZEC.2.6	b.ZEC.2.8	5	Undirected
21328	b.ZEC.12.5	b.ZEC.14.8	5	Undirected
21262	b.ZEC.12.3	b.ZEC.14.21	5	Undirected
21324	b.ZEC.12.5	b.ZEC.14.4	5	Undirected
5123	b.ZEC.2.6	b.ZEC.2.9	5	Undirected
21322	b.ZEC.12.5	b.ZEC.14.2	5	Undirected
5124	b.ZEC.2.6	b.ZEC.2.10	5	Undirected
21263	b.ZEC.12.4	b.ZEC.12.5	5	Undirected
21245	b.ZEC.12.3	b.ZEC.14.4	5	Undirected
21261	b.ZEC.12.3	b.ZEC.14.20	5	Undirected
21192	b.ZEC.12.2	b.ZEC.13.1	5	Undirected
21180	b.ZEC.12.2	b.ZEC.12.3	5	Undirected
21185	b.ZEC.12.2	b.ZEC.12.8	5	Undirected
21186	b.ZEC.12.2	b.ZEC.12.9	5	Undirected
21187	b.ZEC.12.2	b.ZEC.12.10	5	Undirected
21188	b.ZEC.12.2	b.ZEC.12.11	5	Undirected
21189	b.ZEC.12.2	b.ZEC.12.12	5	Undirected
16285	b.ZEC.8.5	b.ZEC.14.2	5	Undirected
21202	b.ZEC.12.2	b.ZEC.14.2	5	Undirected
