	Source	Target	Weight	Type
0	#per44	#pla5	4	Undirected
1	#per624	#per628	1	Undirected
2	#per14	#per627	2	Undirected
3	#pla3	#pla41	3	Undirected
4	#org25	#org39	1	Undirected
5	#per575	#per625	1	Undirected
6	#per44	#tim23	1	Undirected
7	#org70	#pla278	1	Undirected
8	#org70	#pla272	1	Undirected
9	#per128	#per44	1	Undirected
10	#org0	#per633	1	Undirected
11	#pla277	#pla3	1	Undirected
12	#org100	#pla274	1	Undirected
13	#org0	#org103	1	Undirected
14	#pla270	#pla277	1	Undirected
15	#per4	#pla3	1	Undirected
16	#org0	#per17	2	Undirected
17	#per14	#pla269	1	Undirected
18	#org0	#per77	4	Undirected
19	#org4	#pla72	4	Undirected
20	#org104	#org4	1	Undirected
21	#per5	#pla41	1	Undirected
22	#org70	#pla5	2	Undirected
23	#org0	#org12	7	Undirected
24	#org93	#per152	1	Undirected
25	#per575	#per622	1	Undirected
26	#per14	#per625	2	Undirected
27	#org39	#pla217	1	Undirected
28	#org19	#per44	3	Undirected
29	#pla69	#pla72	1	Undirected
30	#org46	#per125	1	Undirected
31	#org104	#org130	1	Undirected
32	#org122	#pla3	2	Undirected
33	#org39	#per104	1	Undirected
34	#per625	#per627	2	Undirected
35	#per44	#per627	2	Undirected
36	#per44	#pla22	2	Undirected
37	#org122	#per35	1	Undirected
38	#per623	#pla69	1	Undirected
39	#pla270	#pla279	1	Undirected
40	#org54	#per44	1	Undirected
41	#org22	#per14	1	Undirected
42	#org130	#pla3	1	Undirected
43	#per14	#per622	1	Undirected
44	#org0	#org70	87	Undirected
45	#pla270	#pla276	1	Undirected
46	#per44	#pla69	3	Undirected
47	#per14	#pla264	1	Undirected
48	#per44	#pla154	2	Undirected
49	#org0	#pla159	1	Undirected
50	#per14	#per45	2	Undirected
51	#pla4	#pla72	1	Undirected
52	#pla270	#pla278	1	Undirected
53	#org18	#pla272	1	Undirected
54	#org100	#per128	1	Undirected
55	#per152	#per44	1	Undirected
56	#org39	#pla268	1	Undirected
57	#pla276	#pla278	1	Undirected
58	#per14	#pla156	2	Undirected
59	#org18	#per44	3	Undirected
60	#per14	#per630	1	Undirected
61	#per44	#pla271	1	Undirected
62	#org122	#per125	1	Undirected
63	#org49	#per5	1	Undirected
64	#per35	#per44	5	Undirected
65	#org4	#per5	4	Undirected
66	#per44	#pla267	1	Undirected
67	#per625	#pla30	1	Undirected
68	#org4	#org70	9	Undirected
69	#org4	#pla41	10	Undirected
70	#pla270	#pla3	1	Undirected
71	#per14	#per588	1	Undirected
72	#org133	#pla72	1	Undirected
73	#org100	#pla279	1	Undirected
74	#org0	#wor1	1	Undirected
75	#org70	#org93	1	Undirected
76	#per17	#per77	1	Undirected
77	#per44	#per577	3	Undirected
78	#per14	#pla112	1	Undirected
79	#org8	#pla41	2	Undirected
80	#per44	#per45	2	Undirected
81	#per632	#pla3	1	Undirected
82	#org12	#per44	7	Undirected
83	#org4	#per4	1	Undirected
84	#org12	#per14	8	Undirected
85	#org24	#per44	4	Undirected
86	#org0	#per627	2	Undirected
87	#org0	#pla22	2	Undirected
88	#org0	#pla2	8	Undirected
89	#org70	#per633	1	Undirected
90	#org0	#org16	2	Undirected
91	#org22	#pla265	1	Undirected
92	#org0	#pla9	1	Undirected
93	#org101	#per44	2	Undirected
94	#per14	#pla275	1	Undirected
95	#per625	#per628	1	Undirected
96	#per14	#per634	1	Undirected
97	#pla3	#pla57	1	Undirected
98	#per125	#per14	1	Undirected
99	#per14	#pla277	1	Undirected
100	#per14	#tim24	1	Undirected
101	#per577	#tim24	1	Undirected
102	#org8	#pla30	2	Undirected
103	#per14	#pla268	2	Undirected
104	#pla264	#pla3	1	Undirected
105	#pla112	#pla264	1	Undirected
106	#org0	#org102	8	Undirected
107	#per14	#per632	1	Undirected
108	#org118	#org70	1	Undirected
109	#org4	#per20	1	Undirected
110	#per623	#per624	1	Undirected
111	#org44	#pla4	1	Undirected
112	#org70	#per125	1	Undirected
113	#org0	#org4	61	Undirected
114	#org101	#pla30	1	Undirected
115	#org25	#org70	1	Undirected
116	#per14	#pla159	1	Undirected
117	#pla153	#pla90	1	Undirected
118	#org0	#pla28	1	Undirected
119	#per44	#per625	2	Undirected
120	#per634	#pla2	1	Undirected
121	#per44	#per624	2	Undirected
122	#per14	#per20	2	Undirected
123	#org0	#pla267	1	Undirected
124	#per44	#pla153	2	Undirected
125	#org103	#org14	1	Undirected
126	#per45	#per577	2	Undirected
127	#org44	#org70	9	Undirected
128	#per1	#per14	3	Undirected
129	#pla137	#pla5	1	Undirected
130	#org70	#pla30	2	Undirected
131	#org0	#per44	200	Undirected
132	#per575	#per624	1	Undirected
133	#org70	#pla2	6	Undirected
134	#per14	#pla90	2	Undirected
135	#per1	#pla3	1	Undirected
136	#org0	#org104	5	Undirected
137	#per104	#per44	1	Undirected
138	#per14	#tim11	3	Undirected
139	#org0	#per1	3	Undirected
140	#per625	#per629	1	Undirected
141	#pla275	#pla278	1	Undirected
142	#pla274	#pla3	1	Undirected
143	#org104	#org70	5	Undirected
144	#org70	#per44	91	Undirected
145	#pla273	#pla3	1	Undirected
146	#org39	#org93	1	Undirected
147	#org0	#pla80	1	Undirected
148	#per14	#per35	5	Undirected
149	#per624	#per625	2	Undirected
150	#org70	#per128	1	Undirected
151	#per44	#pla272	1	Undirected
152	#org0	#pla5	4	Undirected
153	#pla156	#pla90	1	Undirected
154	#org54	#per14	1	Undirected
155	#per630	#pla110	1	Undirected
156	#org4	#per35	1	Undirected
157	#org0	#pla69	3	Undirected
158	#per14	#pla3	37	Undirected
159	#org118	#pla72	1	Undirected
160	#org134	#per35	1	Undirected
161	#pla275	#pla279	1	Undirected
162	#per625	#pla69	1	Undirected
163	#pla153	#pla3	1	Undirected
164	#per623	#per627	1	Undirected
165	#per128	#pla279	1	Undirected
166	#org0	#org46	1	Undirected
167	#org0	#pla272	1	Undirected
168	#per14	#pla81	1	Undirected
169	#per44	#per628	1	Undirected
170	#org0	#pla153	2	Undirected
171	#org18	#per14	3	Undirected
172	#per44	#pla276	1	Undirected
173	#per14	#pla271	1	Undirected
174	#org134	#per633	1	Undirected
175	#per4	#per5	1	Undirected
176	#pla270	#pla274	1	Undirected
177	#org0	#per629	1	Undirected
178	#pla267	#pla268	1	Undirected
179	#pla41	#pla97	1	Undirected
180	#org24	#org70	3	Undirected
181	#per623	#per625	1	Undirected
182	#org0	#org130	1	Undirected
183	#per128	#pla274	1	Undirected
184	#org0	#pla4	9	Undirected
185	#per20	#pla3	1	Undirected
186	#per44	#per622	1	Undirected
187	#per44	#pla80	1	Undirected
188	#org4	#pla3	8	Undirected
189	#org39	#per14	10	Undirected
190	#per44	#pla2	8	Undirected
191	#per44	#pla81	1	Undirected
192	#per14	#pla137	1	Undirected
193	#per14	#per621	2	Undirected
194	#org49	#per44	1	Undirected
195	#org4	#per17	1	Undirected
196	#per14	#per44	172	Undirected
197	#per624	#per626	1	Undirected
198	#org44	#pla41	1	Undirected
199	#org0	#org44	9	Undirected
200	#org0	#per152	1	Undirected
201	#org24	#per17	1	Undirected
202	#pla275	#pla3	1	Undirected
203	#org0	#pla262	1	Undirected
204	#pla275	#pla277	1	Undirected
205	#org70	#org8	12	Undirected
206	#org70	#pla153	1	Undirected
207	#per35	#per633	1	Undirected
208	#org0	#org101	2	Undirected
209	#org53	#per44	1	Undirected
210	#org0	#pla81	1	Undirected
211	#per14	#pla266	1	Undirected
212	#org0	#per628	1	Undirected
213	#org100	#pla277	1	Undirected
214	#org88	#per14	1	Undirected
215	#org100	#pla41	1	Undirected
216	#per1	#pla72	1	Undirected
217	#org118	#per14	1	Undirected
218	#org0	#tim11	3	Undirected
219	#org4	#per1	1	Undirected
220	#pla271	#pla3	1	Undirected
221	#pla22	#pla23	1	Undirected
222	#org0	#per625	2	Undirected
223	#org100	#pla275	1	Undirected
224	#org0	#org122	4	Undirected
225	#org0	#per624	2	Undirected
226	#org12	#org8	2	Undirected
227	#pla268	#pla81	1	Undirected
228	#org12	#pla3	1	Undirected
229	#org39	#org54	1	Undirected
230	#org134	#per14	1	Undirected
231	#per0	#per44	2	Undirected
232	#org70	#per631	1	Undirected
233	#org0	#per0	2	Undirected
234	#per14	#pla272	1	Undirected
235	#per35	#pla2	1	Undirected
236	#pla3	#pla4	2	Undirected
237	#pla275	#pla276	1	Undirected
238	#per128	#pla270	1	Undirected
239	#org0	#per622	1	Undirected
240	#org16	#org44	1	Undirected
241	#per14	#pla273	1	Undirected
242	#pla2	#pla4	1	Undirected
243	#per44	#pla275	1	Undirected
244	#org0	#per632	1	Undirected
245	#pla153	#pla273	1	Undirected
246	#per14	#per77	4	Undirected
247	#org0	#org133	1	Undirected
248	#org4	#pla97	1	Undirected
249	#org16	#org70	1	Undirected
250	#org70	#per588	1	Undirected
251	#org0	#org100	3	Undirected
252	#per627	#per628	1	Undirected
253	#org70	#pla69	2	Undirected
254	#org102	#org18	1	Undirected
255	#per44	#pla274	1	Undirected
256	#per14	#per629	1	Undirected
257	#per44	#pla269	1	Undirected
258	#per14	#per628	1	Undirected
259	#per128	#pla276	1	Undirected
260	#per5	#pla4	2	Undirected
261	#org0	#pla270	1	Undirected
262	#org70	#per630	1	Undirected
263	#per626	#per627	1	Undirected
264	#per104	#per5	1	Undirected
265	#org44	#per44	9	Undirected
266	#org8	#pla264	1	Undirected
267	#per14	#per624	2	Undirected
268	#pla274	#pla275	1	Undirected
269	#org0	#pla18	2	Undirected
270	#pla276	#pla277	1	Undirected
271	#org0	#pla3	40	Undirected
272	#per629	#pla30	1	Undirected
273	#per575	#per629	1	Undirected
274	#org0	#pla156	2	Undirected
275	#org70	#per1	1	Undirected
276	#org70	#pla270	1	Undirected
277	#per44	#pla159	1	Undirected
278	#org118	#org93	1	Undirected
279	#org0	#org18	3	Undirected
280	#per628	#pla30	1	Undirected
281	#per44	#per629	1	Undirected
282	#org0	#pla264	1	Undirected
283	#org70	#per634	1	Undirected
284	#per624	#pla30	1	Undirected
285	#org0	#org93	2	Undirected
286	#org46	#org70	1	Undirected
287	#org70	#pla3	31	Undirected
288	#pla41	#wor4	1	Undirected
289	#org12	#pla4	1	Undirected
290	#org44	#org8	2	Undirected
291	#org102	#org16	1	Undirected
292	#org16	#pla269	1	Undirected
293	#per577	#tim23	1	Undirected
294	#per14	#pla5	4	Undirected
295	#per14	#pla265	1	Undirected
296	#per44	#pla4	9	Undirected
297	#per14	#pla41	18	Undirected
298	#org122	#org134	1	Undirected
299	#per44	#pla217	1	Undirected
300	#org4	#pla30	1	Undirected
301	#org104	#pla3	5	Undirected
302	#org4	#pla69	1	Undirected
303	#org104	#org134	1	Undirected
304	#org100	#pla270	1	Undirected
305	#pla279	#pla3	1	Undirected
306	#org70	#pla275	1	Undirected
307	#per35	#pla3	5	Undirected
308	#org39	#per44	10	Undirected
309	#org0	#per588	1	Undirected
310	#org100	#pla268	1	Undirected
311	#pla137	#pla90	1	Undirected
312	#per14	#per633	1	Undirected
313	#per14	#pla57	1	Undirected
314	#per575	#pla41	1	Undirected
315	#per44	#pla262	1	Undirected
316	#per128	#pla277	1	Undirected
317	#per77	#pla41	1	Undirected
