	Source	Target	Weight	Type
0	#org130	#per44	1	Undirected
1	#org53	#per14	1	Undirected
2	#org70	#pla2	6	Undirected
3	#org0	#per5	10	Undirected
4	#org118	#per14	1	Undirected
5	#org0	#pla217	1	Undirected
6	#per575	#pla18	1	Undirected
7	#pla2	#pla3	6	Undirected
8	#org70	#pla28	1	Undirected
9	#org0	#pla273	1	Undirected
10	#org4	#per44	61	Undirected
11	#per152	#per44	1	Undirected
12	#per17	#per44	2	Undirected
13	#per14	#pla270	1	Undirected
14	#per44	#pla5	4	Undirected
15	#org70	#pla271	1	Undirected
16	#org102	#org18	1	Undirected
17	#per35	#pla3	5	Undirected
18	#org24	#per77	1	Undirected
19	#per20	#pla3	1	Undirected
20	#org19	#per44	3	Undirected
21	#pla3	#pla57	1	Undirected
22	#per14	#per632	1	Undirected
23	#org133	#pla72	1	Undirected
24	#org49	#per14	1	Undirected
25	#per1	#pla41	1	Undirected
26	#org4	#wor4	2	Undirected
27	#org0	#pla41	24	Undirected
28	#org16	#per14	2	Undirected
29	#per44	#pla4	9	Undirected
30	#per44	#pla57	1	Undirected
31	#per128	#pla277	1	Undirected
32	#per44	#pla264	1	Undirected
33	#org133	#org4	1	Undirected
34	#org4	#per4	1	Undirected
35	#org70	#pla274	1	Undirected
36	#org12	#pla4	1	Undirected
37	#per44	#pla274	1	Undirected
38	#org70	#per128	1	Undirected
39	#org14	#per44	1	Undirected
40	#org88	#per44	1	Undirected
41	#org103	#per14	1	Undirected
42	#org65	#tim11	1	Undirected
43	#pla4	#pla80	1	Undirected
44	#org100	#pla278	1	Undirected
45	#org0	#pla4	9	Undirected
46	#per44	#pla28	1	Undirected
47	#per5	#pla41	1	Undirected
48	#org53	#per44	1	Undirected
49	#per633	#pla3	1	Undirected
50	#org24	#pla2	2	Undirected
51	#org0	#org65	1	Undirected
52	#per628	#pla30	1	Undirected
53	#org0	#org104	5	Undirected
54	#per14	#pla112	1	Undirected
55	#org39	#per104	1	Undirected
56	#org0	#pla81	1	Undirected
57	#per14	#tim11	3	Undirected
58	#org8	#pla3	1	Undirected
59	#org4	#pla72	4	Undirected
60	#org0	#org46	1	Undirected
61	#org134	#per633	1	Undirected
62	#per44	#per628	1	Undirected
63	#org0	#org122	4	Undirected
64	#pla3	#pla30	1	Undirected
65	#org104	#org4	1	Undirected
66	#org70	#pla217	1	Undirected
67	#org44	#pla3	1	Undirected
68	#org70	#per5	5	Undirected
69	#org0	#per44	200	Undirected
70	#pla112	#pla3	1	Undirected
71	#per14	#wor1	1	Undirected
72	#per44	#per5	10	Undirected
73	#org44	#pla112	1	Undirected
74	#per623	#per626	1	Undirected
75	#org70	#pla5	2	Undirected
76	#per128	#pla274	1	Undirected
77	#org0	#org93	2	Undirected
78	#per14	#pla156	2	Undirected
79	#org0	#wor1	1	Undirected
80	#org118	#per44	1	Undirected
81	#per44	#per623	1	Undirected
82	#per14	#pla72	8	Undirected
83	#per1	#per14	3	Undirected
84	#per44	#pla277	1	Undirected
85	#per634	#pla2	1	Undirected
86	#org4	#pla2	1	Undirected
87	#per623	#per625	1	Undirected
88	#per14	#pla279	1	Undirected
89	#per44	#per629	1	Undirected
90	#per0	#pla3	1	Undirected
91	#pla278	#pla279	1	Undirected
92	#org4	#per17	1	Undirected
93	#per632	#pla271	1	Undirected
