	Source	Target	Via	Weight	Type
4	#per44	#org0	oral	201	Directed
0	#per14	#per44	oral	119	Directed
2	#per14	#org70	oral	76	Directed
10	#per14	#org0	oral	37	Directed
6	#org4	#per44	oral	26	Directed
7	#org4	#org4	oral	14	Directed
5	#per44	#org4	oral	13	Directed
13	#org4	#per44	idea	10	Directed
22	#per14	#org44	oral	9	Directed
17	#per14	#per575	oral	8	Directed
16	#per14	#org4	oral	7	Directed
24	#per44	#org70	oral	6	Directed
15	#org4	#per575	oral	5	Directed
9	#per44	#org0	idea	4	Directed
20	#per44	#per575	idea	4	Directed
1	#per44	#org70	idea	4	Directed
23	#per44	#org12	oral	3	Directed
32	#per14	#org18	idea	2	Directed
31	#org8	#org0	idea	2	Directed
30	#org0	#org8	idea	2	Directed
3	#org8	#org70	oral	2	Directed
19	#per14	#per77	written	2	Directed
8	#org4	#per14	oral	2	Directed
21	#org70	#org8	oral	1	Directed
11	#per44	#per0	oral	1	Directed
18	#per14	#org0	written	1	Directed
25	#org0	#org0	idea	1	Directed
26	#org0	#org39	idea	1	Directed
27	#org0	#org0	oral	1	Directed
28	#per44	#org102	oral	1	Directed
29	#org24	#org24	thought	1	Directed
14	#per14	#per20	oral	1	Directed
12	#per0	#per44	oral	1	Directed
33	#org70	#org0	written	1	Directed
