	Source	Target	Weight	Type
1000	b.ZEP.2.8	b.ZEP.2.9	6	Undirected
1358	b.ZEP.3.14	b.ZEP.3.16	6	Undirected
197	b.ZEP.1.4	b.ZEP.3.16	5	Undirected
604	b.ZEP.1.14	b.ZEP.2.3	5	Undirected
195	b.ZEP.1.4	b.ZEP.3.14	5	Undirected
750	b.ZEP.1.18	b.ZEP.2.3	5	Undirected
1335	b.ZEP.3.11	b.ZEP.3.14	5	Undirected
1357	b.ZEP.3.14	b.ZEP.3.15	5	Undirected
1337	b.ZEP.3.11	b.ZEP.3.16	5	Undirected
1366	b.ZEP.3.15	b.ZEP.3.19	5	Undirected
880	b.ZEP.2.3	b.ZEP.3.19	5	Undirected
599	b.ZEP.1.14	b.ZEP.1.16	4	Undirected
603	b.ZEP.1.14	b.ZEP.2.2	4	Undirected
815	b.ZEP.2.1	b.ZEP.3.19	4	Undirected
601	b.ZEP.1.14	b.ZEP.1.18	4	Undirected
160	b.ZEP.1.4	b.ZEP.1.12	4	Undirected
167	b.ZEP.1.4	b.ZEP.2.1	4	Undirected
598	b.ZEP.1.14	b.ZEP.1.15	4	Undirected
817	b.ZEP.2.2	b.ZEP.2.3	4	Undirected
813	b.ZEP.2.1	b.ZEP.3.17	4	Undirected
169	b.ZEP.1.4	b.ZEP.2.3	4	Undirected
173	b.ZEP.1.4	b.ZEP.2.7	4	Undirected
176	b.ZEP.1.4	b.ZEP.2.10	4	Undirected
185	b.ZEP.1.4	b.ZEP.3.4	4	Undirected
192	b.ZEP.1.4	b.ZEP.3.11	4	Undirected
193	b.ZEP.1.4	b.ZEP.3.12	4	Undirected
196	b.ZEP.1.4	b.ZEP.3.15	4	Undirected
814	b.ZEP.2.1	b.ZEP.3.18	4	Undirected
1377	b.ZEP.3.19	b.ZEP.3.20	4	Undirected
812	b.ZEP.2.1	b.ZEP.3.16	4	Undirected
152	b.ZEP.1.3	b.ZEP.3.20	4	Undirected
102	b.ZEP.1.2	b.ZEP.3.20	4	Undirected
104	b.ZEP.1.3	b.ZEP.1.5	4	Undirected
642	b.ZEP.1.15	b.ZEP.2.3	4	Undirected
641	b.ZEP.1.15	b.ZEP.2.2	4	Undirected
781	b.ZEP.1.18	b.ZEP.3.19	4	Undirected
639	b.ZEP.1.15	b.ZEP.1.18	4	Undirected
782	b.ZEP.1.18	b.ZEP.3.20	4	Undirected
117	b.ZEP.1.3	b.ZEP.1.18	4	Undirected
637	b.ZEP.1.15	b.ZEP.1.16	4	Undirected
120	b.ZEP.1.3	b.ZEP.2.3	4	Undirected
784	b.ZEP.2.1	b.ZEP.2.3	4	Undirected
128	b.ZEP.1.3	b.ZEP.2.11	4	Undirected
791	b.ZEP.2.1	b.ZEP.2.10	4	Undirected
140	b.ZEP.1.3	b.ZEP.3.8	4	Undirected
807	b.ZEP.2.1	b.ZEP.3.11	4	Undirected
808	b.ZEP.2.1	b.ZEP.3.12	4	Undirected
810	b.ZEP.2.1	b.ZEP.3.14	4	Undirected
811	b.ZEP.2.1	b.ZEP.3.15	4	Undirected
198	b.ZEP.1.4	b.ZEP.3.17	4	Undirected
151	b.ZEP.1.3	b.ZEP.3.19	4	Undirected
553	b.ZEP.1.12	b.ZEP.3.16	4	Undirected
200	b.ZEP.1.4	b.ZEP.3.19	4	Undirected
