	Source	Target	Weight	Type
0	#org0	#org122	1	Undirected
1	#org0	#org53	1	Undirected
2	#org137	#per14	1	Undirected
3	#per627	#per74	1	Undirected
4	#org39	#pla84	1	Undirected
5	#org70	#pla4	2	Undirected
6	#org103	#per627	1	Undirected
7	#per627	#pla161	2	Undirected
8	#per73	#per74	1	Undirected
9	#per647	#per648	1	Undirected
10	#per5	#pla84	1	Undirected
11	#per649	#per74	1	Undirected
12	#per627	#pla269	1	Undirected
13	#per627	#pla267	2	Undirected
14	#per14	#per74	1	Undirected
15	#org101	#per627	2	Undirected
16	#org70	#pla2	1	Undirected
17	#per5	#per627	1	Undirected
18	#per627	#pla0	1	Undirected
19	#per14	#per651	1	Undirected
20	#per627	#per646	1	Undirected
21	#org119	#per627	1	Undirected
22	#per646	#pla2	1	Undirected
23	#per627	#pla84	2	Undirected
24	#org137	#org63	1	Undirected
25	#per14	#pla41	8	Undirected
26	#org0	#pla268	1	Undirected
27	#org16	#per14	1	Undirected
28	#org70	#pla3	3	Undirected
29	#org101	#per14	2	Undirected
30	#per14	#per650	1	Undirected
31	#per627	#pla17	1	Undirected
32	#per647	#pla2	1	Undirected
33	#per646	#per648	1	Undirected
34	#pla267	#pla81	1	Undirected
35	#org39	#per14	2	Undirected
36	#org0	#per648	1	Undirected
37	#org53	#org63	1	Undirected
38	#per14	#per648	1	Undirected
39	#org103	#pla41	1	Undirected
40	#org14	#pla3	1	Undirected
41	#org39	#pla3	1	Undirected
42	#per646	#per74	1	Undirected
43	#org18	#pla41	1	Undirected
44	#per14	#per73	1	Undirected
45	#per627	#pla16	1	Undirected
46	#per646	#per649	1	Undirected
47	#per14	#pla267	2	Undirected
48	#per14	#pla20	3	Undirected
49	#org0	#per14	53	Undirected
50	#org4	#per14	1	Undirected
51	#org14	#wor1	1	Undirected
52	#org63	#per627	1	Undirected
53	#org82	#per14	2	Undirected
54	#org82	#per272	2	Undirected
55	#org0	#per74	1	Undirected
56	#org137	#pla84	1	Undirected
57	#per651	#pla18	1	Undirected
58	#org18	#org70	1	Undirected
59	#pla18	#pla41	1	Undirected
60	#pla3	#pla72	2	Undirected
61	#org0	#pla72	3	Undirected
62	#org0	#org70	12	Undirected
63	#pla267	#pla269	1	Undirected
64	#per14	#pla161	2	Undirected
65	#org0	#pla17	1	Undirected
66	#per5	#pla267	1	Undirected
67	#per650	#pla3	1	Undirected
68	#org82	#pla17	1	Undirected
69	#org0	#org14	2	Undirected
70	#per1	#per627	1	Undirected
71	#org63	#pla84	1	Undirected
72	#org19	#per627	1	Undirected
73	#per649	#pla2	1	Undirected
74	#per627	#per650	1	Undirected
75	#pla20	#pla90	1	Undirected
76	#per14	#wor1	1	Undirected
77	#per14	#pla2	2	Undirected
78	#per14	#pla16	1	Undirected
79	#per14	#pla269	1	Undirected
80	#per650	#pla2	1	Undirected
81	#org4	#per651	1	Undirected
82	#org0	#pla0	1	Undirected
83	#per627	#pla41	8	Undirected
84	#org53	#per14	1	Undirected
85	#org0	#org119	1	Undirected
86	#org122	#pla161	1	Undirected
