	Source	Target	Weight	Type
0	#org70	#per627	12	Undirected
1	#pla2	#pla3	1	Undirected
2	#per650	#pla2	1	Undirected
3	#per272	#pla4	2	Undirected
4	#pla18	#pla41	1	Undirected
5	#per648	#per649	1	Undirected
6	#org70	#pla41	2	Undirected
7	#org53	#per627	1	Undirected
8	#per73	#pla2	1	Undirected
9	#per14	#pla3	4	Undirected
10	#org82	#pla17	1	Undirected
11	#pla267	#pla84	1	Undirected
12	#org19	#per14	1	Undirected
13	#org70	#pla2	1	Undirected
14	#org0	#pla269	1	Undirected
15	#per14	#per272	2	Undirected
16	#org0	#pla0	1	Undirected
17	#org16	#tim13	1	Undirected
18	#org82	#pla4	2	Undirected
19	#per648	#pla2	1	Undirected
20	#per14	#wor1	1	Undirected
21	#per627	#tim18	1	Undirected
22	#per14	#pla84	2	Undirected
23	#pla267	#pla269	1	Undirected
24	#per14	#tim18	1	Undirected
25	#per627	#pla2	2	Undirected
26	#org100	#tim13	1	Undirected
27	#per14	#per647	1	Undirected
28	#per627	#per648	1	Undirected
29	#per627	#pla20	3	Undirected
30	#org39	#pla84	1	Undirected
31	#per14	#per648	1	Undirected
32	#org18	#tim18	1	Undirected
33	#org0	#org100	3	Undirected
34	#pla4	#pla72	1	Undirected
35	#org122	#per627	1	Undirected
36	#org0	#wor1	1	Undirected
37	#org4	#pla18	1	Undirected
38	#org0	#pla81	1	Undirected
39	#org14	#org39	1	Undirected
40	#org0	#per272	2	Undirected
41	#per14	#pla269	1	Undirected
42	#org137	#org63	1	Undirected
43	#per627	#pla269	1	Undirected
44	#per14	#pla90	1	Undirected
45	#per627	#pla84	2	Undirected
46	#org119	#per627	1	Undirected
47	#per627	#pla0	1	Undirected
48	#per14	#tim2	6	Undirected
49	#per14	#pla301	1	Undirected
50	#org0	#org14	2	Undirected
51	#per627	#pla301	1	Undirected
52	#org0	#org122	1	Undirected
53	#per646	#pla2	1	Undirected
54	#org137	#per14	1	Undirected
55	#pla17	#pla4	1	Undirected
56	#per14	#pla72	3	Undirected
57	#per14	#pla161	2	Undirected
58	#org0	#org39	2	Undirected
59	#per627	#pla90	1	Undirected
60	#per74	#pla2	1	Undirected
61	#org14	#pla2	1	Undirected
62	#per646	#per74	1	Undirected
63	#per646	#per647	1	Undirected
64	#per627	#per74	1	Undirected
65	#per14	#per74	1	Undirected
66	#org0	#pla2	2	Undirected
67	#org0	#per651	1	Undirected
68	#org101	#per627	2	Undirected
69	#org0	#org119	1	Undirected
70	#org63	#pla84	1	Undirected
71	#org0	#org16	1	Undirected
72	#org101	#per14	2	Undirected
73	#org18	#pla41	1	Undirected
74	#per1	#per14	1	Undirected
75	#org0	#org18	3	Undirected
76	#per272	#pla16	1	Undirected
77	#org137	#pla84	1	Undirected
78	#org0	#pla90	1	Undirected
79	#org0	#pla20	3	Undirected
80	#org0	#pla301	1	Undirected
81	#org100	#org16	1	Undirected
82	#per649	#pla2	1	Undirected
83	#per14	#per646	1	Undirected
84	#per627	#pla161	2	Undirected
85	#per647	#per73	1	Undirected
86	#org122	#pla161	1	Undirected
87	#per14	#per627	53	Undirected
88	#org39	#per627	2	Undirected
89	#org4	#per627	1	Undirected
90	#org39	#pla3	1	Undirected
91	#pla268	#pla269	1	Undirected
92	#per14	#pla4	5	Undirected
93	#per14	#per5	1	Undirected
94	#per646	#per649	1	Undirected
95	#org4	#per14	1	Undirected
96	#org14	#wor1	1	Undirected
97	#per14	#pla268	1	Undirected
98	#per5	#pla84	1	Undirected
99	#org0	#per74	1	Undirected
100	#org39	#per650	1	Undirected
101	#org0	#per646	1	Undirected
102	#org0	#org63	1	Undirected
103	#org0	#per1	1	Undirected
104	#org0	#pla4	5	Undirected
105	#per14	#per651	1	Undirected
106	#org0	#per5	1	Undirected
107	#per627	#per651	1	Undirected
108	#per14	#pla153	1	Undirected
109	#org70	#per14	12	Undirected
110	#per14	#per649	1	Undirected
111	#pla267	#pla268	1	Undirected
112	#org18	#per1	1	Undirected
113	#org18	#per627	3	Undirected
114	#org0	#pla300	1	Undirected
115	#pla267	#pla81	1	Undirected
116	#per5	#per627	1	Undirected
117	#org101	#pla41	1	Undirected
118	#org137	#org53	1	Undirected
119	#per14	#pla81	1	Undirected
120	#per14	#pla16	1	Undirected
121	#per627	#pla41	8	Undirected
122	#per14	#pla41	8	Undirected
123	#pla3	#pla72	2	Undirected
124	#pla269	#pla81	1	Undirected
125	#per627	#wor1	1	Undirected
126	#org82	#per14	2	Undirected
127	#per14	#per650	1	Undirected
128	#org39	#pla267	1	Undirected
129	#per14	#pla2	2	Undirected
130	#org82	#per627	2	Undirected
131	#per627	#per647	1	Undirected
132	#org39	#per5	1	Undirected
133	#pla20	#pla90	1	Undirected
134	#org0	#org137	1	Undirected
135	#per646	#per73	1	Undirected
136	#org14	#org70	1	Undirected
137	#per627	#per73	1	Undirected
138	#per14	#pla0	1	Undirected
139	#org0	#org70	12	Undirected
140	#org39	#per14	2	Undirected
141	#per627	#pla17	1	Undirected
142	#org0	#per647	1	Undirected
143	#per14	#pla17	1	Undirected
144	#org0	#org19	1	Undirected
145	#org70	#pla4	2	Undirected
146	#per272	#per627	2	Undirected
147	#per650	#pla3	1	Undirected
148	#org53	#org63	1	Undirected
149	#org119	#pla161	1	Undirected
150	#org0	#org82	2	Undirected
151	#org19	#per627	1	Undirected
152	#org101	#pla4	1	Undirected
153	#per14	#pla20	3	Undirected
154	#org19	#pla18	1	Undirected
155	#per647	#per74	1	Undirected
156	#per648	#per74	1	Undirected
157	#pla16	#pla17	1	Undirected
158	#per1	#tim18	1	Undirected
159	#per649	#per73	1	Undirected
160	#org0	#pla17	1	Undirected
161	#org0	#per73	1	Undirected
162	#per647	#per649	1	Undirected
163	#org70	#pla3	3	Undirected
164	#org0	#org103	1	Undirected
165	#org0	#pla18	2	Undirected
166	#org39	#org70	1	Undirected
167	#org0	#per649	1	Undirected
168	#per272	#pla17	1	Undirected
169	#org0	#org4	1	Undirected
170	#org16	#per627	1	Undirected
171	#org82	#pla16	1	Undirected
172	#org0	#pla153	1	Undirected
173	#per627	#per646	1	Undirected
174	#org122	#per14	1	Undirected
175	#org16	#per14	1	Undirected
176	#org18	#tim2	2	Undirected
177	#org18	#per14	3	Undirected
178	#per627	#pla4	5	Undirected
179	#org0	#org101	2	Undirected
180	#org0	#org53	1	Undirected
181	#org53	#per14	1	Undirected
182	#per627	#pla268	1	Undirected
183	#org39	#pla2	1	Undirected
184	#org14	#per650	1	Undirected
185	#org103	#pla41	1	Undirected
186	#org0	#pla16	1	Undirected
187	#org0	#per650	1	Undirected
188	#per627	#pla300	1	Undirected
