id	string	freq	number_entities	low_string	string_len	type
#per14	Jehová	2946	0	jehová	6	per
#per14	Dios	2147	0	dios	4	per
#pla4	Israel	926	0	israel	6	pla
#per35	David	636	0	david	5	per
#per1	Jesús	636	0	jesús	5	per
#org70	pueblo	620	0	pueblo	6	org
#per14	Señor	496	0	señor	5	per
#pla41	tierra	479	0	tierra	6	pla
#per26	Moisés	434	0	moisés	6	per
#per522	Saúl	355	0	saúl	4	per
#pla5	Egipto	353	0	egipto	6	pla
#pla3	Jerusalén	310	0	jerusalén	9	pla
#org0	hombre	308	0	hombre	6	org
#org70	hijos de  Israel	293	0	hijos de  israel	16	org
#per4	Jacob	277	0	jacob	5	per
#per1	Señor	255	0	señor	5	per
#per35	rey	251	0	rey	3	per
#org70	Israel	216	0	israel	6	org
#per1	Cristo	209	0	cristo	6	per
#per14	Padre	205	0	padre	5	per
#per104	José	202	0	josé	4	per
#org53	filisteos	200	0	filisteos	9	org
#per2	Abraham	195	0	abraham	7	per
#org0	naciones	192	0	naciones	8	org
#per503	Josué	176	0	josué	5	per
#org0	hombres	174	0	hombres	7	org
#wor1	Ley	166	0	ley	3	wor
#org13	judíos	153	0	judíos	6	org
#per504	Pablo	150	0	pablo	5	per
#pla2	Judá	148	0	judá	4	pla
#pla18	cielo	138	0	cielo	5	pla
#per500	Aarón	136	0	aarón	5	per
#per481	Samuel	126	0	samuel	6	per
#pla9	Jordán	125	0	jordán	6	pla
#org12	sacerdotes	123	0	sacerdotes	10	org
#org101	enemigos	123	0	enemigos	8	org
#per21	Pedro	122	0	pedro	5	per
#pla5	tierra de  Egipto	121	0	tierra de  egipto	17	pla
#pla4	tierra	113	0	tierra	6	pla
#org0	pueblos	112	0	pueblos	7	org
#per3	Isaac	112	0	isaac	5	per
#per585	faraón	109	0	faraón	6	per
#per14	Jehová de los ejércitos	108	0	jehová de los ejércitos	23	per
#per1	Jesucristo	106	0	jesucristo	10	per
#org3	discípulos	104	0	discípulos	10	org
#org4	ángel	100	0	ángel	5	org
#per714	Joab	99	0	joab	4	per
#per715	Absalón	98	0	absalón	7	per
#org70	casa de  Israel	94	0	casa de  israel	15	org
#pla57	Efraín	93	0	efraín	6	pla
#per659	Jonatán	90	0	jonatán	7	per
#per4	padre	90	0	padre	5	per
#per133	faraón	88	0	faraón	6	per
#per861	rey	88	0	rey	3	per
#per131	Esaú	88	0	esaú	4	per
#per17	Espíritu	84	0	espíritu	8	per
#per5	Judá	84	0	judá	4	per
#pla3	ciudad	81	0	ciudad	6	pla
#per46	Daniel	78	0	daniel	6	per
#org8	profetas	77	0	profetas	8	org
#org65	egipcios	74	0	egipcios	8	org
#per17	Espíritu Santo	73	0	espíritu santo	14	per
#org16	gentiles	73	0	gentiles	8	org
#org0	mundo	70	0	mundo	5	org
#per4	Israel	70	0	israel	6	per
#pla72	Sión	69	0	sión	4	pla
#pla30	Templo	68	0	templo	6	pla
#pla263	Tabernáculo	68	0	tabernáculo	11	pla
