Source,Target,Weight
#per1,#per25,75
#per14,#org4,42
#per14,#per25,42
#per14,#org0,37
#per25,#org4,37
#per1,#per14,36
#org0,#org4,29
#per1,#org4,24
#per14,#pla18,19
#per1,#org33,15
#per20,#org4,15
#per20,#per25,15
#per25,#org33,15
#per1,#org34,13
#per14,#org52,13
#per25,#org34,13
#per1,#org36,12
#per1,#org37,12
#per25,#org36,12
#org4,#pla18,11
#org51,#org52,11
#per1,#org0,11
#org0,#pla69,10
#org4,#pla69,10
#per1,#org30,10
#per25,#org30,10
#org0,#pla18,9
#per1,#org52,9
#per1,#per20,9
#per14,#org51,9
#per14,#pla73,9
#per25,#org37,9
#per1,#org32,8
#per14,#org8,8
#per17,#per25,8
#per25,#org32,8
#per1,#org31,7
#per1,#org51,7
#per1,#per17,7
#per14,#per17,7
#per14,#per20,7
#per17,#org37,7
#per25,#org31,7
#org4,#org51,6
#org4,#org52,6
#org4,#pla73,6
#per1,#org35,6
#per14,#pla69,6
#per14,#wor3,6
#per14,#wor4,6
#per25,#org35,6
#per25,#org52,6
#per25,#pla18,6
#per25,#pla69,6
#per25,#wor3,6
#org30,#org31,5
#org30,#org32,5
#org30,#org33,5
#org30,#org34,5
#org30,#org35,5
#org30,#org36,5
#org31,#org32,5
#org31,#org33,5
#org31,#org34,5
#org31,#org35,5
#org31,#org36,5
#org32,#org33,5
#org32,#org34,5
#org32,#org35,5
#org32,#org36,5
#org33,#org34,5
#org33,#org35,5
#org33,#org36,5
#org34,#org35,5
#org34,#org36,5
#org35,#org36,5
#org4,#org8,5
#org4,#wor3,5
#per1,#pla18,5
#per1,#wor4,5
#per14,#org34,5
#per14,#pla71,5
#per20,#org37,5
#per25,#org8,5
#pla18,#pla73,5
#per14,#pla3,4
#per20,#org0,4
#per25,#org0,4
#per25,#org51,4
#per25,#pla73,4
#org4,#org34,3
#org4,#org37,3
#org4,#wor4,3
#per1,#org13,3
#per1,#per35,3
#per1,#pla71,3
#per14,#org33,3
#per14,#org36,3
#per14,#org37,3
#per14,#pla19,3
#per17,#org0,3
#per17,#pla18,3
#per20,#org6,3
#per20,#pla18,3
#per20,#pla69,3
#per25,#org13,3
#per25,#per35,3
#per25,#pla19,3
#per25,#wor4,3
#org0,#org37,2
#org0,#org8,2
#org13,#pla4,2
#org30,#pla63,2
#org31,#pla63,2
#org32,#pla63,2
#org33,#org37,2
#org33,#pla61,2
#org33,#pla63,2
#org34,#pla60,2
#org34,#pla63,2
#org35,#pla63,2
#org36,#pla63,2
#org4,#org30,2
#org4,#org31,2
#org4,#org32,2
#org4,#org33,2
#org4,#org35,2
#org4,#org36,2
#org4,#org6,2
#org4,#pla19,2
#org4,#pla64,2
#org52,#wor4,2
#per1,#pla19,2
#per1,#pla60,2
#per1,#pla61,2
#per1,#pla73,2
#per14,#org30,2
#per17,#org52,2
#per20,#org13,2
#per20,#org31,2
#per20,#org32,2
#per20,#pla19,2
#per25,#pla3,2
#per25,#pla60,2
#per25,#pla61,2
#per25,#pla63,2
#per25,#pla71,2
#per35,#org4,2
#pla18,#pla71,2
#org0,#org3,1
#org0,#org36,1
#org0,#org6,1
#org0,#pla73,1
#org0,#tim2,1
#org0,#wor4,1
#org13,#org31,1
#org13,#org32,1
#org13,#org35,1
#org13,#org38,1
#org16,#pla3,1
#org16,#pla73,1
#org22,#pla4,1
#org3,#org8,1
#org3,#pla18,1
#org3,#pla71,1
#org30,#org37,1
#org30,#pla18,1
#org30,#pla62,1
#org30,#wor3,1
#org31,#org37,1
#org31,#pla65,1
#org31,#wor3,1
#org32,#org37,1
#org32,#pla4,1
#org32,#pla68,1
#org32,#wor3,1
#org33,#wor3,1
#org34,#org37,1
#org34,#pla71,1
#org34,#pla73,1
#org34,#wor3,1
