	GEN	EXO	LEV	NUM	DEU	JOS	JDG	RUT	1SA	2SA	1KI	2KI	EZR	NEH	EST	JOB	PSA	PRO	ECC	ISA	JER	LAM	EZE	DAN	HOS	JOE	AMO	OBA	JON	MIC	NAH	HAB	ZEP	HAG	ZEC	MAL	MAT	MAR	JOH	ACT	ROM	1CO	2CO	GAL	EPH	PHI	COL	1TH	2TH	1TI	2TI	TIT	PHM	HEB	JAM	1PE	2PE	1JO	2JO	3JO	JUD	REV
#per0																	31.77167,35.22861																		31.76832,35.21371		32.69964,35.30355		31.76832,35.21371	32.94315,35.46136																						
#per1										31.04605,34.85161		31.90322,35.20354					31.77167,35.22861			31.57364,35.09459			31.04605,34.85161	32.47749,35.41644						31.55155,35.08586				33.18667,35.61917	31.76999,35.22116	33.18667,35.61917	32.1847,34.78642	32.11813,35.3707	32.07842,35.39758	35.49441,30.80043	35.14759,27.64623	38.74693,28.52941	38.84518,24.54551	31.90322,35.20354	34.97732,25.53169			38.05064,26.63108			37.24519,33.6217			31.90322,35.20354		35.66344,34.67759						35.84764,32.61463
#per2	31.68565,36.42966	29.43805,33.04601	31.04605,34.85161	29.43805,33.04601	31.04605,34.85161	31.22892,35.45985					31.04605,34.85161			30.96222,46.10444									31.04605,34.85161																	31.35387,37.67415														31.04605,34.85161								
#per3	31.5074,36.09655	29.43805,33.04601	31.04605,34.85161	29.43805,33.04601	31.04605,34.85161	29.91161,34.41176					31.40718,35.03266	33.45476,37.4327																																										31.04605,34.85161								
#per4	31.68734,35.0268	29.4587,33.36401	31.04605,34.85161	29.43805,33.04601	31.04605,34.85161	30.46472,34.30527	33.24049,35.64928		29.43805,33.04601	31.04605,34.85161	32.00035,35.22816		32.46096,41.50697				30.42346,34.04306			32.15747,35.31626	31.76832,35.21371		30.47456,33.67569		31.90322,35.20354		31.04605,34.85161	31.77167,35.22861		31.52868,35.09798	31.04605,34.85161				31.76832,35.21371					26.82055,30.8025														31.04605,34.85161								
#per5	30.08684,32.4854			32.05556,35.28953		32.10173,32.36529			31.58033,34.95607								31.77167,35.22861						31.40035,35.21913	32.08921,37.06393	31.04605,34.85161								32.05556,35.28953		31.57253,35.08962	32.00035,35.22816																										
#per6								26.82055,30.8025																																																						
#per7	32.05556,35.28953			33.01667,35.56694				26.82055,30.8025																																																						
#per8																																																														
#per9																																																														
#per10																																					31.01133,34.47697	32.36382,35.39577		32.95366,32.02234																						
#per11																																					28.9333,32.82706		32.85238,35.58065																							
#per12						30.58516,36.23841																															28.9333,32.82706		32.69964,35.30355																							
#per13											32.16927,33.9584	31.71393,35.33158																													31.04605,34.85161																					
