	Source	Target	Weight
132	#per263	#per250	1
62	#per21	#per25	1
102	#pla190	#pla191	1
103	#per539	#per504	1
59	#per184	#per210	1
104	#per1	#per13	1
57	#per660	#org144	1
56	#per96	#per35	1
107	#org63	#org13	1
108	#org2	#org37	1
53	#per500	#org132	1
110	#per124	#per125	1
111	#pla296	#pla297	1
112	#per761	#per762	1
49	#org13	#org118	1
48	#pla51	#pla3	1
47	#pla390	#pla389	1
45	#per10	#org8	1
63	#org1	#org14	1
115	#org39	#org45	1
98	#per132	#per159	1
131	#per653	#per696	1
84	#tim5	#tim6	1
83	#per435	#per444	1
90	#pla3	#org70	1
91	#org13	#org63	1
80	#per523	#per699	1
79	#per2	#per137	1
78	#org15	#org19	1
92	#per152	#per72	1
93	#per657	#per710	1
75	#org22	#org70	1
74	#org4	#org6	1
73	#per947	#per946	1
72	#per193	#per186	1
94	#per26	#per500	1
69	#per655	#per654	1
96	#per526	#per525	1
97	#per125	#per124	1
65	#per23	#per22	1
116	#pla191	#pla190	1
43	#org147	#per35	1
40	#org132	#per500	1
41	#org70	#org19	1
19	#per870	#per871	1
18	#per13	#per18	1
17	#org100	#per46	1
122	#org50	#org144	1
126	#per790	#per791	1
13	#per3	#per136	1
12	#org18	#per1	1
11	#pla247	#pla248	1
10	#per7	#per286	1
7	#per533	#per532	1
6	#pla162	#pla428	1
5	#per768	#per703	1
4	#per22	#per23	1
129	#per108	#per107	1
2	#per266	#per419	1
130	#per134	#per171	1
21	#per483	#per504	1
22	#per20	#per21	1
20	#per135	#per16	1
24	#per748	#per747	1
39	#per180	#per197	1
38	#per768	#per706	1
37	#per525	#per526	1
36	#org27	#per22	1
117	#pla181	#pla192	1
34	#per3	#per140	1
23	#per14	#per1	1
118	#per526	#per504	1
33	#per652	#per670	1
30	#pla4	#pla2	1
29	#per1	#per18	1
28	#org44	#org93	1
27	#per483	#per571	1
119	#org40	#org41	1
25	#per2	#per3	1
31	#per847	#per846	1
95	#per1	#per14	2
124	#per893	#per882	2
127	#per211	#per205	2
128	#per25	#per23	2
113	#per354	#per182	2
89	#pla16	#pla51	2
88	#per3	#per2	2
0	#per35	#org147	2
86	#per11	#per12	2
1	#per919	#per924	2
3	#per166	#per209	2
9	#per120	#per121	2
14	#per55	#per56	2
15	#per181	#per122	2
26	#per714	#per664	2
32	#org70	#org17	2
42	#org101	#org18	2
44	#pla16	#pla17	2
50	#org70	#org39	2
87	#per678	#per679	2
55	#per504	#per483	2
58	#org25	#org143	2
60	#per579	#per580	2
66	#per504	#org110	2
68	#per144	#per162	2
77	#org39	#org70	2
76	#per25	#per21	2
61	#org70	#org147	2
64	#per545	#per546	2
85	#per748	#per749	2
82	#per664	#per731	2
51	#pla3	#pla51	3
81	#per466	#per469	3
125	#per710	#per657	3
16	#per195	#per196	3
121	#org225	#org226	3
109	#per655	#per671	3
100	#per671	#per655	3
120	#per21	#per22	3
67	#per499	#per614	3
114	#per747	#per748	3
54	#per157	#per173	3
35	#org70	#org18	3
71	#org88	#per4	4
8	#per23	#per25	4
123	#per522	#per659	4
106	#per104	#per128	4
46	#per72	#per152	4
105	#per504	#per526	4
101	#per464	#per93	4
70	#per131	#per4	5
99	#org70	#org22	6
52	#per16	#per135	6
