	Source	Target	Weight	Type
0	#pla156	#pla4	1	Undirected
14217	#per109	#per161	1	Undirected
14216	#per101	#per945	1	Undirected
14215	#per14	#per971	1	Undirected
14214	#pla1	#pla115	1	Undirected
14213	#org78	#per137	1	Undirected
14211	#per499	#per673	1	Undirected
14210	#org167	#org25	1	Undirected
14209	#org74	#per971	1	Undirected
14208	#org89	#per679	1	Undirected
14207	#org197	#per460	1	Undirected
14205	#org19	#per212	1	Undirected
14204	#pla3	#pla404	1	Undirected
14203	#per371	#per869	1	Undirected
14201	#per25	#per511	1	Undirected
14199	#org145	#per571	1	Undirected
14218	#per141	#per2	1	Undirected
14219	#pla116	#pla588	1	Undirected
14220	#per499	#per7	1	Undirected
14222	#pla188	#pla82	1	Undirected
14243	#per127	#per678	1	Undirected
14242	#per86	#pla4	1	Undirected
14241	#per749	#pla321	1	Undirected
14238	#org144	#per500	1	Undirected
14237	#org37	#per26	1	Undirected
14236	#org78	#per135	1	Undirected
14235	#per21	#per986	1	Undirected
14198	#per247	#per697	1	Undirected
14234	#per575	#per610	1	Undirected
14232	#org144	#per5	1	Undirected
14231	#per189	#per50	1	Undirected
14230	#per132	#per663	1	Undirected
14228	#per538	#per749	1	Undirected
14227	#per230	#per652	1	Undirected
14226	#org195	#per320	1	Undirected
14225	#per462	#per583	1	Undirected
14233	#org183	#org50	1	Undirected
14197	#org110	#org57	1	Undirected
14196	#per523	#per724	1	Undirected
14195	#org91	#per47	1	Undirected
14172	#org200	#per663	1	Undirected
14170	#per134	#per726	1	Undirected
14169	#per481	#per654	1	Undirected
14168	#org50	#per462	1	Undirected
14167	#per156	#per92	1	Undirected
14166	#pla371	#pla736	1	Undirected
14165	#org49	#per614	1	Undirected
14173	#org122	#org4	1	Undirected
14164	#per465	#per583	1	Undirected
14162	#org14	#per21	1	Undirected
14159	#org25	#per972	1	Undirected
14158	#org40	#per212	1	Undirected
14157	#per158	#per963	1	Undirected
14156	#org0	#per776	1	Undirected
14155	#pla159	#pla16	1	Undirected
14154	#per131	#per713	1	Undirected
14163	#org109	#per454	1	Undirected
14244	#per264	#per324	1	Undirected
14174	#per21	#per477	1	Undirected
14176	#per599	#per745	1	Undirected
14194	#org171	#per180	1	Undirected
14192	#pla111	#pla6	1	Undirected
14191	#pla250	#pla80	1	Undirected
14190	#org16	#per144	1	Undirected
14188	#pla115	#pla188	1	Undirected
14187	#org146	#per464	1	Undirected
14186	#per126	#per158	1	Undirected
14175	#org4	#per847	1	Undirected
14185	#pla139	#pla146	1	Undirected
14183	#per58	#per923	1	Undirected
14182	#per324	#per614	1	Undirected
14181	#org88	#per11	1	Undirected
14180	#pla108	#pla54	1	Undirected
14179	#org80	#pla51	1	Undirected
14178	#org6	#per570	1	Undirected
14177	#org171	#per264	1	Undirected
14184	#per904	#per905	1	Undirected
14245	#per110	#per508	1	Undirected
14246	#per582	#per599	1	Undirected
14249	#per193	#per499	1	Undirected
14316	#per481	#per734	1	Undirected
14315	#org65	#per136	1	Undirected
14313	#org101	#org98	1	Undirected
14312	#org144	#org5	1	Undirected
14310	#org14	#org96	1	Undirected
14309	#per707	#per96	1	Undirected
14306	#per652	#per697	1	Undirected
14318	#org131	#per963	1	Undirected
14305	#org0	#org5	1	Undirected
14303	#pla281	#pla362	1	Undirected
14302	#per185	#per193	1	Undirected
14300	#per16	#per166	1	Undirected
14299	#org194	#per845	1	Undirected
14298	#org70	#per13	1	Undirected
14297	#pla200	#pla92	1	Undirected
14294	#pla458	#pla80	1	Undirected
14304	#per119	#per143	1	Undirected
14293	#per44	#per961	1	Undirected
14319	#per655	#per707	1	Undirected
14321	#org101	#per36	1	Undirected
14339	#per205	#per593	1	Undirected
14338	#org63	#org91	1	Undirected
14337	#per178	#per959	1	Undirected
14336	#per119	#per964	1	Undirected
14334	#org145	#per210	1	Undirected
14333	#pla113	#pla30	1	Undirected
14332	#per120	#per842	1	Undirected
14320	#pla108	#pla234	1	Undirected
14331	#org221	#org70	1	Undirected
14329	#per211	#per253	1	Undirected
14328	#per14	#per564	1	Undirected
14327	#per484	#per505	1	Undirected
14326	#pla212	#pla250	1	Undirected
14325	#per136	#per982	1	Undirected
14324	#org8	#per4	1	Undirected
14323	#org135	#org94	1	Undirected
14330	#pla84	#pla88	1	Undirected
14153	#per20	#per520	1	Undirected
14292	#per1	#per139	1	Undirected
14290	#per128	#per94	1	Undirected
14267	#pla133	#pla362	1	Undirected
14266	#per140	#per614	1	Undirected
14265	#org45	#pla470	1	Undirected
14264	#org146	#per324	1	Undirected
14262	#org24	#per653	1	Undirected
14261	#org70	#per6	1	Undirected
14259	#per44	#per505	1	Undirected
14268	#per158	#per95	1	Undirected
14258	#per159	#per26	1	Undirected
14256	#per136	#per3	1	Undirected
14255	#org110	#per7	1	Undirected
14254	#org11	#pla16	1	Undirected
14253	#per777	#per950	1	Undirected
14252	#org22	#per659	1	Undirected
14251	#per35	#per734	1	Undirected
14250	#org49	#per12	1	Undirected
14257	#per161	#per599	1	Undirected
14291	#per272	#per522	1	Undirected
14269	#per35	#per851	1	Undirected
14271	#pla11	#pla79	1	Undirected
14289	#per157	#per745	1	Undirected
14288	#org134	#per696	1	Undirected
14287	#pla250	#pla4	1	Undirected
14286	#per483	#per715	1	Undirected
14285	#org69	#per976	1	Undirected
14283	#per131	#per324	1	Undirected
14282	#pla485	#pla495	1	Undirected
14270	#org83	#org87	1	Undirected
14281	#org50	#per676	1	Undirected
14279	#per145	#per655	1	Undirected
14278	#pla108	#pla191	1	Undirected
14276	#pla171	#pla250	1	Undirected
14275	#org132	#per253	1	Undirected
14274	#per11	#per247	1	Undirected
14273	#org4	#per27	1	Undirected
14272	#per564	#per861	1	Undirected
14280	#per211	#per214	1	Undirected
14340	#org49	#per61	1	Undirected
14152	#per34	#per512	1	Undirected
14150	#org168	#per714	1	Undirected
14037	#org87	#per971	1	Undirected
14036	#per659	#per782	1	Undirected
14035	#per118	#per5	1	Undirected
14034	#per19	#per570	1	Undirected
14033	#org8	#org87	1	Undirected
14032	#org145	#per454	1	Undirected
14031	#pla145	#pla192	1	Undirected
14030	#per484	#per662	1	Undirected
14029	#per170	#per657	1	Undirected
14028	#org70	#per570	1	Undirected
14026	#per216	#per410	1	Undirected
14025	#org100	#per129	1	Undirected
14023	#org24	#per131	1	Undirected
14022	#org133	#org22	1	Undirected
14021	#per131	#per523	1	Undirected
14039	#per102	#per749	1	Undirected
14040	#org185	#per127	1	Undirected
14041	#per186	#per660	1	Undirected
14042	#org118	#per124	1	Undirected
14061	#pla143	#pla403	1	Undirected
14060	#org13	#per701	1	Undirected
14059	#org109	#per571	1	Undirected
14056	#org88	#per157	1	Undirected
14055	#per162	#per180	1	Undirected
14053	#org89	#per122	1	Undirected
14052	#per144	#per212	1	Undirected
14019	#org188	#per159	1	Undirected
14051	#org45	#org70	1	Undirected
14049	#per100	#per54	1	Undirected
14048	#per186	#per722	1	Undirected
14047	#org15	#per173	1	Undirected
14046	#org19	#per253	1	Undirected
14045	#per670	#per779	1	Undirected
14044	#org195	#per126	1	Undirected
14043	#per137	#per500	1	Undirected
14050	#per662	#per707	1	Undirected
14018	#per522	#per865	1	Undirected
14017	#per123	#pla468	1	Undirected
14016	#per204	#pla8	1	Undirected
13992	#per173	#per241	1	Undirected
13991	#per14	#pla262	1	Undirected
13989	#per18	#per790	1	Undirected
13988	#pla143	#pla191	1	Undirected
13986	#org53	#per25	1	Undirected
13985	#pla171	#pla22	1	Undirected
13984	#per716	#per723	1	Undirected
13993	#org44	#per197	1	Undirected
13983	#per140	#per180	1	Undirected
13981	#per330	#per614	1	Undirected
13979	#per174	#per845	1	Undirected
13977	#per286	#per659	1	Undirected
13975	#org40	#per125	1	Undirected
13974	#per209	#pla3	1	Undirected
13973	#org0	#pla676	1	Undirected
13972	#org13	#per158	1	Undirected
13982	#per813	#per822	1	Undirected
14062	#per159	#per929	1	Undirected
13994	#per124	#per714	1	Undirected
13996	#org83	#per715	1	Undirected
14015	#org183	#per505	1	Undirected
14014	#org2	#org86	1	Undirected
14011	#per189	#per27	1	Undirected
14010	#per35	#per553	1	Undirected
14009	#per26	#per728	1	Undirected
14008	#per703	#per791	1	Undirected
14007	#pla191	#pla71	1	Undirected
13995	#pla20	#pla315	1	Undirected
14005	#org147	#per951	1	Undirected
14003	#pla302	#pla393	1	Undirected
14002	#per193	#per661	1	Undirected
14001	#per140	#per679	1	Undirected
14000	#pla133	#pla736	1	Undirected
13999	#per134	#per460	1	Undirected
13998	#per158	#per727	1	Undirected
13997	#per13	#per185	1	Undirected
14004	#pla133	#pla192	1	Undirected
14063	#per144	#per678	1	Undirected
14064	#per285	#per947	1	Undirected
14065	#org49	#per466	1	Undirected
14127	#org49	#per314	1	Undirected
14126	#per189	#per512	1	Undirected
14125	#org65	#per94	1	Undirected
14124	#org70	#pla57	1	Undirected
14123	#org122	#per178	1	Undirected
14122	#org17	#per264	1	Undirected
14121	#org144	#org51	1	Undirected
14128	#per782	#pla4	1	Undirected
14120	#pla20	#pla80	1	Undirected
14118	#org195	#per655	1	Undirected
14117	#per18	#per984	1	Undirected
14116	#per128	#per268	1	Undirected
14115	#org187	#org22	1	Undirected
14114	#pla188	#pla5	1	Undirected
14113	#org80	#per161	1	Undirected
14112	#org22	#per701	1	Undirected
14119	#org0	#per861	1	Undirected
14111	#org22	#per660	1	Undirected
14129	#pla108	#pla212	1	Undirected
14131	#org100	#per664	1	Undirected
14149	#pla133	#pla92	1	Undirected
14148	#per11	#per915	1	Undirected
14147	#pla115	#pla513	1	Undirected
14146	#org194	#per496	1	Undirected
14145	#org19	#per657	1	Undirected
14144	#pla115	#pla17	1	Undirected
14143	#per39	#per481	1	Undirected
14130	#per404	#per664	1	Undirected
14142	#per112	#per575	1	Undirected
14140	#org102	#per728	1	Undirected
14138	#org146	#pla6	1	Undirected
14137	#per140	#per242	1	Undirected
14136	#per162	#per330	1	Undirected
14135	#org8	#per481	1	Undirected
14134	#pla22	#pla458	1	Undirected
14132	#per48	#per507	1	Undirected
14141	#per132	#per95	1	Undirected
14151	#pla57	#pla84	1	Undirected
14110	#pla143	#pla20	1	Undirected
14108	#per20	#per708	1	Undirected
14087	#per106	#per907	1	Undirected
14086	#org54	#per976	1	Undirected
14084	#per136	#per528	1	Undirected
14081	#per104	#per111	1	Undirected
14080	#org29	#per658	1	Undirected
14078	#per121	#per25	1	Undirected
14076	#pla539	#pla86	1	Undirected
14088	#pla250	#pla71	1	Undirected
14075	#org99	#per714	1	Undirected
14073	#org101	#org63	1	Undirected
14072	#org211	#per655	1	Undirected
14071	#org63	#per847	1	Undirected
14069	#pla149	#pla164	1	Undirected
14068	#org185	#org4	1	Undirected
14067	#org13	#per614	1	Undirected
14066	#pla281	#pla30	1	Undirected
14074	#org141	#org65	1	Undirected
14109	#org105	#org110	1	Undirected
