id	label	timeset	normalizedname-sp	aclaration	variants	comments	book	cert	gender	normalizedname-ge	normalizedname-po	type	nature	definition	importance	order-edition	degree	weighted degree	eccentricity	closnesscentrality	harmonicclosnesscentrality	betweenesscentrality	modularity_class	indegree	outdegree	weighted indegree	weighted outdegree	componentnumber
"#per1"	#per1		Jesús				NT		male	Jesus	Jesus	person	both	defined	1	MAT	8	12.0	4.0	0.4166666666666667	0.46666666666666645	1.0	2	3	5	5.0	7.0	1
"#per2"	#per2		Abraham				AT		male	Abraham	Abraão	person	superior-human	defined	1	MAT	9	49.0	3.0	0.453781512605042	0.4969135802469133	7.280952380952383	0	4	5	18.0	31.0	1
"#per3"	#per3		Isaac				AT		male	Isaak	Isaque	person	human	defined	1	MAT	9	49.0	6.0	0.358974358974359	0.41349206349206374	7.280952380952383	0	6	3	37.0	12.0	1
"#per4"	#per4		Jacob		Israel		AT		male	Jakob	Jacó	person	human	defined	1	MAT	23	105.0	5.0	0.45054945054945056	0.5191056910569104	300.53928571428577	0	17	6	95.0	10.0	1
"#per5"	#per5		Judá				AT		male	Juda	Judá	person	human	defined	1	MAT	14	30.0	3.0	0.6666666666666666	0.8055555555555555	18.316666666666663	2	10	4	19.0	11.0	1
"#per12"	#per12		José	padre de Jesús			NT		male	Josef	José	person	human	defined		MAT	4	4.0	4.0	0.4088050314465409	0.4435897435897434	0.0	2	2	2	2.0	2.0	1
"#per13"	#per13		Elías				NT		male	Elija	Elias	person	human	defined	1	MAT	4	4.0	4.0	0.4088050314465409	0.4435897435897434	0.0	2	2	2	2.0	2.0	1
"#per14"	#per14		Dios				AT		none	Gott	Deus	person	superior	defined	1	MAT	84	2106.0	3.0	0.6736842105263158	0.7890625000000002	1341.9023809523808	2	45	39	822.0	1284.0	1
"#per17"	#per17		Espíritu Santo			Tb debería integrar en este id cuando se hace referencia al Espíritu de Dios?	AT		none	Heiliger Geist	Espírito Santo	person	superior	defined	1	MAT	3	3.0	4.0	0.39705882352941174	0.42901234567901236	0.0	2	2	1	2.0	1.0	1
"#per26"	#per26		Moisés				AT		male	Mose	Moisés	person	human	defined	1	MAT	75	1882.0	3.0	0.6463414634146342	0.7641509433962262	1199.99126984127	2	45	30	1499.0	383.0	1
