	code	i	title	viaf	verses	chapters	pericopes	entities referenced	mq-ent-id-1	mq-ent-freq-1	mq-ent-id-2	mq-ent-freq-2	pers	pla	org	wor	tim	diff org	diff pers	diff pla	diff tim	diff toWhom ent	diff who ent	diff wor	rs	mean of rs	median of rs	std of rs	1st percentile rs	100th percentile rs	q	mean of q	median of q	std of q	1st percentile q	100th percentile q	1st-lev-q	2nd-lev-q	3rd-lev-q	4th-lev-q	5th-lev-q	mf-ent-freq-org	mf-ent-freq-pers	mf-ent-freq-pla	mf-ent-freq-tim	mf-ent-freq-wor	mf-ent-id-org	mf-ent-id-pers	mf-ent-id-pla	mf-ent-id-tim	mf-ent-id-wor	q-dream	q-oath	q-oral	q-prayer	q-song	q-written	toWhom ent	who ent
GEN	GEN	1	Génesis	174582712	1533	50	79	5285	#per14	419	#per4	394	3956	793	529	0	7	59	349	86	3	68	57	0	1533	3.2726679712981084	3.0	2.442287480699088	0	15	1533	0.6131767775603392	1.0	0.6976339297442035	0	4	840	90	10	0	0	198	419	139	4	-	#org88	#per14	#pla5	#tim3	-	11	0	856	15	0	1	1078	948
EXO	EXO	2	Éxodo	265859281	1213	40	87	3057	#per14	553	#org70	543	1429	530	1021	25	52	39	80	34	9	24	21	3	1213	2.503709810387469	2.0	2.4307629127832997	0	13	1213	0.877164056059357	1.0	0.7859625724598006	0	3	800	232	32	0	0	543	553	201	24	21	#org70	#per14	#pla5	#tim9	#wor7	0	0	831	7	0	2	1125	1110
1SA	1SA	3	1 Samuel	183486306	810	31	36	3513	#per14	421	#per522	415	2104	579	828	2	0	49	84	100	0	50	49	1	810	4.279012345679012	4.0	2.4090228029458656	0	14	810	0.7283950617283951	1.0	0.7173006961708097	0	4	534	53	3	0	0	191	421	149	-	2	#org70	#per14	#pla4	-	#wor1	0	5	533	7	12	2	608	592
2SA	2SA	4	2 Samuel	179039927	695	24	41	3295	#per35	622	#per14	231	2206	481	606	2	0	46	159	93	0	50	51	1	695	4.677697841726618	4.0	2.77955802587959	0	17	695	0.7309352517985611	1.0	0.7748616052747787	0	4	441	53	13	1	0	95	622	137	-	2	#org70	#per35	#pla4	-	#wor1	0	4	381	18	61	10	526	515
NEH	NEH	5	Nehemías	314805700	406	13	19	1708	#org70	123	#per14	94	962	296	413	21	16	48	284	75	4	16	19	1	406	4.201970443349754	3.0	3.407123410580649	0	19	406	0.35467980295566504	0.0	0.6646750034292435	0	3	104	39	1	0	0	123	94	60	12	21	#org70	#per14	#pla3	#tim9	#wor1	0	0	90	49	0	4	153	150
JOB	JOB	6	Job	186698577	1070	42	44	962	#per14	209	#org0	114	480	81	397	1	3	23	18	12	2	9	14	1	1070	0.8523364485981308	0.0	1.1848234086599616	0	9	1070	1.0233644859813085	1.0	0.36242593882383206	0	3	1016	79	0	0	0	114	209	41	2	1	#org0	#per14	#pla41	#tim2	#wor1	0	0	1082	3	0	0	2131	1097
PSA	PSA	7	Salmos	60146153112905251951	1143	75	73	1712	#per14	757	#org101	111	835	258	614	4	1	26	17	33	1	13	11	2	1143	1.4978127734033246	1.0	1.3752072067830399	0	9	1143	0.7489063867016623	1.0	0.5184309928826024	0	3	814	42	0	0	0	111	757	83	1	3	#org101	#per14	#pla41	#tim16	#wor1	0	0	219	619	0	0	856	855
ECC	ECC	8	Eclesiastés	224729743	222	12	17	259	#org0	78	#per14	42	54	16	189	0	0	13	3	6	0	3	2	0	222	1.1711711711711712	1.0	1.2682968511726858	0	7	222	0.08108108108108109	0.0	0.3193640494968762	0	2	18	0	0	0	0	78	42	5	-	-	#org0	#per14	#pla41	-	-	0	0	8	0	0	0	18	18
JOS	JOS	9	Josué	181443388	658	24	35	3408	#per14	298	#org70	195	942	1566	887	11	2	77	79	356	1	29	25	1	658	5.0167173252279635	4.0	3.045773604264779	0	20	658	0.4133738601823708	0.0	0.6569639941001184	0	3	220	46	6	0	0	195	298	193	2	11	#org70	#per14	#pla4	#tim5	#wor1	0	3	240	5	0	1	350	307
JDG	JDG	10	Jueces	183962727	618	21	36	2659	#per14	227	#pla4	189	999	831	829	0	0	69	80	146	0	59	53	0	618	4.288025889967638	4.0	2.588069933970326	0	17	618	0.610032362459547	0.0	0.7280196705901626	0	3	321	51	5	0	0	147	227	189	-	-	#org70	#per14	#pla4	-	-	0	1	314	19	30	0	389	413
Rut	Rut	11	Rut	179825447	85	4	4	323	#per93	54	#per462	39	248	35	40	0	0	8	23	6	0	9	9	0	85	3.635294117647059	3.0	2.369684823444879	0	12	85	0.8	1.0	0.6133436852128473	0	2	64	4	0	0	0	18	54	14	-	-	#org96	#per93	#pla1	-	-	0	0	67	0	0	0	80	71
EZE	EZE	12	Ezekiel	176193843	1273	48	68	3083	#per14	696	#pla4	291	933	967	1171	6	6	67	28	115	2	34	25	2	1273	2.4045561665357424	2.0	2.2859038876377475	0	13	1273	2.0502749410840533	3.0	1.2826804689221167	0	5	1035	783	752	40	0	291	696	291	4	4	#org0	#per14	#pla4	#tim9	#wor10	0	0	1826	8	0	2	2811	2613
DAN	DAN	13	Daniel	174158777	357	12	14	1053	#per861	132	#per46	104	548	152	349	4	0	32	23	27	0	19	19	2	357	2.8515406162464987	2.0	2.406178641236414	0	14	357	1.1988795518207283	1.0	0.7696481609354103	0	3	289	134	5	0	0	78	132	28	-	2	#org100	#per861	#pla69	-	#wor1	0	0	241	21	0	165	436	434
HOS	HOS	14	Oseas	1146030422535861055	197	14	15	519	#per14	104	#pla4	59	160	196	160	3	0	29	27	31	0	9	5	1	197	2.5888324873096447	2.0	2.0549783149360863	0	15	197	1.5634517766497462	2.0	0.7230069466170579	0	3	178	126	4	0	0	34	104	59	-	3	#org70	#per14	#pla4	-	#wor1	0	0	299	3	0	0	322	308
JOE	JOE	15	Joel	176216021	73	3	3	193	#per14	46	#org70	26	51	59	76	0	7	17	4	18	1	4	5	0	73	2.712328767123288	2.0	2.2759579915498986	0	9	73	3.0136986301369864	3.0	0.45622699896151564	0	5	72	72	72	3	1	26	46	10	7	-	#org70	#per14	#pla72	#tim2	-	0	0	217	2	0	0	220	220
OBA	OBA	16	Abdías	181846225	21	1	1	81	#org126	9	#per14	8	21	27	32	0	1	11	5	14	1	1	2	0	21	3.9047619047619047	3.0	3.5057775443510657	0	12	21	0.9047619047619048	1.0	0.43643578047198484	0	2	18	1	0	0	0	9	8	6	1	-	#org126	#per14	#pla246	#tim2	-	0	0	18	0	0	0	19	19
JON	JON	17	Jonás	183065974	48	4	0	115	#per14	38	#per36	23	64	38	13	0	0	3	4	7	0	5	5	0	48	2.3958333333333335	2.0	1.3951219474393448	0	7	48	0.7083333333333334	1.0	0.6509676376351031	0	2	30	4	0	0	0	7	38	16	-	-	#org99	#per14	#pla20	-	-	0	0	18	13	0	3	34	34
MIC	MIC	18	Miqueas	180230104	105	7	10	305	#per14	57	#org70	37	93	91	118	2	1	18	22	26	1	8	6	1	105	2.933333333333333	2.0	2.4971778943233973	0	11	105	2.6952380952380954	3.0	0.9106613142678398	0	4	104	85	84	10	0	37	57	16	1	2	#org70	#per14	#pla4	#tim2	#wor1	0	0	256	20	0	0	324	283
NAH	NAH	19	Nahúm	183065974	47	3	3	80	#per14	14	#org101	8	17	25	38	0	0	11	4	16	0	5	3	0	47	1.6808510638297873	1.0	1.6299690978495562	0	5	47	2.978723404255319	3.0	0.4885364879847837	0	4	46	46	46	2	0	8	14	6	-	-	#org101	#per14	#pla20	-	-	0	0	140	0	0	0	194	140
HAB	HAB	20	Habacuc	87146462592927770973	56	3	3	90	#org0	20	#per14	20	25	18	42	4	1	12	3	8	1	5	3	2	56	1.6071428571428572	1.0	1.568769887854481	0	6	56	1.6607142857142858	1.0	1.083374957575307	0	5	54	19	17	3	0	20	20	9	1	3	#org0	#per14	#pla41	#tim3	#wor8	0	0	45	10	18	19	100	93
ZEP	ZEP	21	Sofonías	316744693	53	3	3	181	#per14	39	#org0	20	58	48	60	1	14	16	13	20	3	8	4	1	53	3.4716981132075473	3.0	2.879661929843272	0	15	53	3.0754716981132075	3.0	0.2666787612158108	3	4	53	53	53	4	0	20	39	10	12	1	#org0	#per14	#pla41	#tim2	#wor1	0	0	107	0	0	53	176	163
HAG	HAG	22	Hageo	185495533	38	2	2	144	#per14	38	#per77	16	100	19	18	1	6	3	8	5	1	5	4	1	38	3.789473684210526	2.0	4.2308895923354	0	16	38	1.6842105263157894	2.0	0.8416606222994191	0	3	32	31	1	0	0	9	38	12	6	1	#org70	#per14	#pla30	#tim19	#wor1	0	0	63	0	0	0	120	64
ZEC	ZEC	23	Zacarías	186702507	211	14	20	637	#per14	155	#pla3	51	247	176	204	5	5	30	32	43	3	17	8	2	211	3.061611374407583	3.0	2.169264799894306	0	12	211	2.6966824644549763	3.0	0.972448254774952	0	5	206	192	139	31	1	44	155	51	3	4	#org0	#per14	#pla3	#tim11	#wor4	0	0	534	0	0	4	573	569
MAL	MAL	24	Malaquías	192637637	55	4	4	164	#per14	63	#org0	9	83	19	50	6	6	17	9	6	2	7	5	2	55	3.0	3.0	1.784708711578779	0	8	55	2.109090909090909	2.0	0.853592132472839	0	5	56	47	13	0	0	9	63	6	5	5	#org0	#per14	#pla4	#tim2	#wor1	0	0	102	0	0	0	121	116
MAT	MAT	25	Evangelio de Mateo	186698679	1071	28	150	1539	#per1	301	#per14	127	829	279	373	13	45	28	102	45	8	38	41	1	1071	1.419234360410831	1.0	1.5697978238106614	0	8	1071	0.9103641456582633	1.0	0.660921869619475	0	5	838	130	7	0	0	72	301	43	20	13	#org3	#per1	#pla18	#tim2	#wor1	5	0	856	6	0	29	1142	975
MAR	MAR	26	Evangelio de Marcos	179823714	678	16	91	1138	#per1	202	#org0	105	544	174	391	5	24	32	59	37	5	38	36	1	678	1.663716814159292	1.0	1.737299315691398	0	11	678	0.672566371681416	1.0	0.6491782494634861	0	5	422	26	8	0	0	105	202	17	11	5	#org0	#per1	#pla30	#tim9	#wor1	0	2	429	3	0	10	639	480
