,name,frequency,id
0,León,1,
22,Muerte,1,
23,Gog,1,
24,Palabra,1,
25,Jezabel,1,
34,Balaam,1,
38,Sodoma,1,
40,Egipto,1,
45,Principio,1,
49,Magog,1,
50,Armagedón,1,
53,Zabulón,1,
55,Esposa,1,
56,Gad,1,
58,Isacar,1,
59,Valera,1,
63,Fiel,1,
65,Rubén,1,
21,Apolión,1,
20,Neftalí,1,
35,Balac,1,
70,Benjamín,1,
9,Aser,1,
13,Simeón,1,
8,Antipas,1,
7,Arca,1,
4,Sión,1,
5,Moisés,1,
1,Leví,1,
14,Abadón,1,
16,Manasés,1,
17,Patmos,1,
12,Ajenjo,1,
11,Pérgamo,2,pla68
54,Filadelfia,2,pla67
67,Laodicea,2,pla66
10,Esmirna,2,pla65
37,Éufrates,2,pla64
36,Judá,2,per5
28,Asia,2,pla63
15,Verdadero,2,
69,Diablo,2,per20
32,Éfeso,2,pla62
62,Rey,3,per14
44,Hijo,3,per1
19,Jerusalén,3,pla3
47,Tiatira,3,pla61
27,Santo,3,per14
51,José,3,
31,Sardis,3,pla60
64,Israel,3,pla4
2,David,3,per35
29,Alfa,4,per14
60,Omega,4,per14
68,Cristo,4,per1
48,Hades,4,pla15
42,Padre,5,per14
26,Babilonia,6,pla69
6,Juan,7,per25
57,Jesucristo,7,per1
61,Jesús,7,per1
43,Satanás,8,per20
30,Todopoderoso,9,per14
66,Espíritu Santo,13,per17
39,Señor,24,per14
46,Cordero,28,
18,Dios,99,per14
