id	name
#per2	Abraham
#per3	Isaac
#per4	Jacob
#per5	Judá
#per6	Tamar
#per7	Fares
#per8	Zéraj
#per15	Jeremías
#per16	Raquel
#per19	Isaías
#per26	Moisés
#per35	David
#per36	Jonás
#per43	Abel
#per46	Daniel
#per47	Noé
#per62	Arquelao
#per63	Roboam
#per64	Abías
#per65	Asa
#per66	Josafat
#per67	Joram
#per68	Uzías
#per69	Jotam
#per70	Acaz
#per71	Ezequías
#per72	Manasés
#per73	Amón
#per74	Josías
#per75	Jeconías
#per76	Salatiel
#per77	Zorobabel
#per78	Abiud
#per79	Eliaquim
#per80	Azor
#per81	Sadoc
#per82	Aquim
#per83	Eliud
#per84	Eleazar
#per85	Matán
#per87	Aram
#per88	Aminadab
#per89	Najsón
#per90	Salmón
#per91	Rajab
#per92	Boaz
#per93	Rut
#per94	Obed
#per95	Isaí
#per96	Urías
#per104	José
#per120	Gad
#per121	Aser
#per122	Neftalí
#per123	Manases
#per124	Simeón
#per125	Leví
#per126	Isacar
#per127	Zabulón
#per128	Benjamín
#per131	Esaú
#per132	Labán
#per133	Raquel
#per134	Sara
#per135	Lea
#per136	Rebeca
#per137	Lot
#per138	Abimelec
#per139	Siquem
#per140	Ismael
#per141	Nacor
#per142	Caín
#per143	Agar
#per144	Sem
#per145	Adán
#per146	Het
#per147	Edom
#per148	Harán
#per149	Efrón
#per150	Hamor
#per151	Beerseba
#per152	Efraín
#per153	Mamre
#per154	Lamec
#per155	Gosén
#per156	Taré
#per157	Bilha
#per158	Cam
#per159	Betuel
#per160	Aná
#per161	Dina
#per162	Jafet
#per163	Seir
#per164	Enoc
#per165	Gomorra
#per166	Ada
#per167	Gerar
#per168	Heber
#per169	Set
#per170	Zoar
#per171	Milca
#per172	Aholibama
#per173	Zilpa
#per174	Zibeón
#per175	Macpela
#per176	Sala
#per177	Arfaxad
#per178	Galaad
#per179	Enós
#per180	Elifaz
#per181	Dan
#per182	Basemat
#per183	Mahalaleel
#per184	Peleg
#per185	Sela
#per186	Er
#per187	Bela
#per188	Hebrón
#per189	Ángel
#per190	Matusalén
#per191	Quedorlaomer
#per192	Jordán
#per193	Onán
#per194	Jared
#per195	Seba
#per196	Neguev
#per197	Reuel
#per198	Cainán
#per199	Reu
#per200	Serug
#per201	Sinar
#per202	Temán
#per203	Lotán
#per204	Efrata
#per205	Coré
#per206	Cus
#per207	Havila
#per208	Disón
#per209	Zila
#per210	Joctán
#per211	Jaalam
#per212	Asiria
#per213	Zohar
#per214	Jeús
#per215	Timnat
#per216	Elón
#per217	Potifera
#per218	Nebaiot
#per219	Disán
#per220	Jobab
#per221	Rehobot
#per222	Ezer
#per223	Shur
#per224	Sidim
#per225	Adma
#per226	Zera
#per227	Ficol
#per228	Súa
#per229	Sobal
#per230	Asenat
#per231	Saúl
#per232	Cenaz
#per233	Elam
#per234	Dedán
#per235	On
#per236	Sidón
#per237	Zeboim
#per238	Madián
#per239	Cades
#per240	Luz
#per241	Eva
#per242	Gomer
#per243	Metusael
#per244	Nahat
#per245	Hira
#per246	Bería
#per247	Elasar
#per248	Sama
#per249	Hanoc
#per250	Aner
#per251	Goim
#per252	Omar
#per253	Mizraim
#per254	Zefo
#per255	Dotán
#per256	Irad
#per257	Nimrod
#per258	Miza
#per259	Gatam
#per260	Amrafel
#per261	Enaim
#per262	Arioc
#per263	Escol
#per264	Javán
#per265	Parán
#per266	Hezrón
#per267	Potifar
#per268	Cala
#per269	Raama
#per270	Cetura
#per271	Samla
#per272	Moab
#per273	Hai
#per274	Husam
#per275	Acbor
#per276	Hadad
#per277	Hadar
#per278	Mas
#per279	Amalec
#per280	Jocsán
#per281	Atad
#per282	Peniel
#per283	Mehujael
#per284	Sucot
#per285	Tidal
#per286	Zara
#per287	Suni
#per288	Malquiel
#per289	Ararat
#per290	Almodad
#per291	Togarma
#per292	Fuerte
#per293	Cedar
#per294	Rifat
#per295	Pinón
#per296	Matred
#per297	Efer
#per298	Sefar
#per299	Jabal
#per300	Ros
#per301	Dodanim
#per302	Tarsis
#per303	Itrán
#per304	Kemuel
#per305	Carmi
#per306	Reúma
#per307	Pisón
#per308	Alván
#per309	Elda
#per310	Teba
#per311	Avit
#per312	Asbel
#per313	Save
#per314	Asur
#per315	Fut
#per316	Isúi
#per317	Ohad
#per318	Abimael
#per319	Selef
#per320	Tiras
#per321	Jetur
#per322	Ehi
#per323	Jidlaf
#per324	Nod
#per325	Hoba
#per326	Arodi
#per327	Acán
#per328	Querán
#per329	Semeber
#per330	Lud
#per331	Hemam
#per332	Eri
#per333	Mesec
#per334	Cedema
#per335	Benoni
#per336	Pildas
#per337	Medán
#per338	Acad
#per339	Ramesés
#per340	Masreca
#per341	Jamín
#per342	Mizpa
#per343	Lasa
#per344	Jaboc
#per345	Eliezer
#per346	Hori
#per347	Dicla
#per348	Dinaba
#per349	Merari
#per350	Mezaab
#per351	Calne
#per352	Anamim
#per353	Isca
#per354	Judit
#per355	Areli
#per356	Leumim
#per357	Bered
#per358	Sahaduta
#per359	Arán
#per360	Birsa
#per361	Isúa
#per362	Jubal
#per363	Casluhim
#per364	Esbán
#per365	Hazo
#per366	Ham
#per367	Jera
#per368	Bosra
#per369	Hul
#per370	Alva
#per371	Juez
#per372	Onam
#per373	Mahalat
#per374	Ludim
#per375	Sefo
#per376	Fúa
#per377	Mesa
#per378	Salem
#per379	Manahat
#per380	Nafis
#per381	Maquir
#per382	Mahanaim
#per383	Siloh
#per384	Zaaván
#per385	Ahuzat
#per386	Uzal
#per387	Tema
#per388	Resén
#per389	Massa
#per390	More
#per391	Terror
#per392	Naama
#per393	Sabteca
#per394	Jahleel
#per395	Bera
#per396	Job
#per397	Débora
#per398	Mibzar
#per399	Karnaim
#per400	Jezer
#per401	Patrusim
#per402	Simrón
#per403	Caftorim
#per404	Buz
#per405	Abida
#per406	Hagui
#per407	Aja
#per408	Asurim
#per409	Sera
#per410	Beeri
#per411	Silem
#per412	Ard
#per413	Lehabim
#per414	Iram
#per415	Guni
#per416	Geter
#per417	Gera
#per418	Jetet
#per419	Hamul
#per420	Hidekel
#per421	Tahas
#per422	Ebal
#per423	Falú
#per424	Adbeel
#per425	Letusim
#per426	Coat
#per427	Ela
#per428	Tubal
#per429	Duma
#per430	Pau
#per431	Melquisedec
#per432	Erec
#per433	Naftuhim
#per434	Beor
#per435	Gihón
#per436	Zimram
#per437	Isbac
#per438	Bedad
#per439	Mupim
#per440	Mehetabel
#per441	Sinab
#per442	Mibsam
#per443	Quezib
#per444	Maaca
#per445	Arba
#per446	Madai
#per447	Ezbón
#per448	Astarot
#per449	Jaquín
#per450	Gaham
#per451	Hupim
#per452	Bequer
#per453	Naamán
#per454	Sabta
#per455	Quitim
#per456	Padan
#per457	Migdal
#per458	Baal
#per459	Quiriat
#per460	Ben
#per461	Hazezon
#per462	Zafnat
#per463	Hazar
#per464	Bet
#per14	Señor
#per14	Jehová
#per2	Abram
#per134	Sarai
#per14	Altísimo
#per14	Roca
#per14	Rey
#per14	Todopoderoso
#per14	Pastor
#per14	Viviente
#org0	gente
#org1	Sanedrín
#org2	fariseos
#org3	discípulos
#org4	ángel
#org5	escribas
#org6	demonio
#org7	saduceos
#org8	profetas
#org9	herodianos
#org10	reyes magos
#org11	hermanos de Jesús
#org12	sacerdotes
#org13	judíos
#org14	falsos profetas
#org15	enfermos
#org16	gentiles
#org17	samaritanos
#org18	creyentes
#org19	no creyentes
#org20	publicanos
#org21	prostitutas
#org22	tribus de Israel
#org23	falsos cristos
#org24	soldados
#org25	ancianos
#org26	criados de Herodes
#org27	discípulos
#org28	condiscípulos
#org29	concilio
#org30	iglesia de Éfeso
#org31	iglesia de Esmirna
#org32	iglesia de Pérgamo
#org33	iglesia de Tiatira
#org34	iglesia de Sardis
#org35	iglesia de Filadelfia
#org36	iglesia de Laodicea
#org37	iglesia
#org38	sellados
#org39	tribu de Judá
#org40	tribu de Rubén
#org41	tribu de Gad
#org42	tribu de Aser
#org43	tribu de Neftalí
#org44	tribu de Manases
#org45	tribu de Simeón
#org46	tribu de Leví
#org47	tribu de Isacar
#org48	tribu de Zabulón
#org49	tribu de José
#org50	tribu de Benjamín
#org51	4 seres vivientes
#org52	24 ancianos
#tim1	tercer Día
#tim2	Día del juicio
#tim3	principio del mundo
#tim4	Días de Noé
#tim5	Pascua
#tim6	Día de la fiesta de los panes sin levadura
#tim7	toma de Jesús
#tim8	días del Rey Herodes
#tim9	sábado
#tim10	bodas de Caná
#tim11	fiesta de los tabernáculos
#tim12	fiesta de la Dedicación
#tim13	muerte de Jesús
#tim14	antes del principio
#wor1	antiguo testamtento
#wor2	Evangelio de Juan
#wor3	Libro de apocalipisis
#wor4	libro de la vida
#pla1	Belén
#pla2	Judea
#pla3	Jerusalén
#pla4	Israel
#pla5	Egipto
#pla6	Ramá
#pla7	Galilea
#pla8	Nazaret
#pla9	Jordán
#pla10	Antes este id tenía el valor de “ciudad santa”
#pla11	Capernaúm
#pla12	Zabulón
#pla13	Neftalí
#pla14	Siria
#pla15	infierno
#pla16	Sodoma
#pla17	Gomorra
#pla18	cielo
